"COUNTRY","COUNTRY_GRP","SEX","YEAR","VALUE"
"ALB","","ALL","1987","23.22"
"ALB","","ALL","1988","23.82"
"ALB","","ALL","1989","26.04"
"ALB","","ALL","1992","25.26"
"ALB","","ALL","1993","21.33"
"ALB","","ALL","1994","20.82"
"ALB","","ALL","1995","23.17"
"ALB","","ALL","1996","27.3"
"ALB","","ALL","1997","24.19"
"ALB","","ALL","1998","24.79"
"ALB","","ALL","1999","26.51"
"ALB","","ALL","2000","28.43"
"ALB","","ALL","2001","26.11"
"ALB","","ALL","2002","28.43"
"ALB","","ALL","2003","31.04"
"ALB","","ALL","2004","31.9"
"ALB","","ALL","2005","27.47"
"ALB","","ALL","2006","27.33"
"ALB","","ALL","2007","23.1"
"ALB","","ALL","2008","27.55"
"ALB","","ALL","2009","25.8"
"ARM","","ALL","1981","63.33"
"ARM","","ALL","1982","67.79"
"ARM","","ALL","1985","66.73"
"ARM","","ALL","1986","72.9"
"ARM","","ALL","1987","69.79"
"ARM","","ALL","1988","73.54"
"ARM","","ALL","1989","78.6"
"ARM","","ALL","1990","85.25"
"ARM","","ALL","1991","86.92"
"ARM","","ALL","1992","90.26"
"ARM","","ALL","1993","89.14"
"ARM","","ALL","1994","78.46"
"ARM","","ALL","1995","86.64"
"ARM","","ALL","1996","80.74"
"ARM","","ALL","1997","75.38"
"ARM","","ALL","1998","72.19"
"ARM","","ALL","1999","72.18"
"ARM","","ALL","2000","67.77"
"ARM","","ALL","2001","66.96"
"ARM","","ALL","2002","71.93"
"ARM","","ALL","2003","68.75"
"ARM","","ALL","2006","73.73"
"ARM","","ALL","2007","73.55"
"ARM","","ALL","2008","68.73"
"ARM","","ALL","2009","75.09"
"ARM","","ALL","2012","67.77"
"ARM","","ALL","2013","65.17"
"ARM","","ALL","2014","62.93"
"ARM","","ALL","2015","61.12"
"ARM","","ALL","2016","65.99"
"ARM","","ALL","2017","54.85"
"ARM","","ALL","2018","50.02"
"ARM","","ALL","2019","47.92"
"ARM","","ALL","2022","49.65"
"AUT","","ALL","1969","48.11"
"AUT","","ALL","1970","47.1"
"AUT","","ALL","1971","47.21"
"AUT","","ALL","1972","47.04"
"AUT","","ALL","1973","46.81"
"AUT","","ALL","1974","47.84"
"AUT","","ALL","1975","48.56"
"AUT","","ALL","1976","48.75"
"AUT","","ALL","1977","50.01"
"AUT","","ALL","1978","49.61"
"AUT","","ALL","1979","48.73"
"AUT","","ALL","1980","47.2"
"AUT","","ALL","1981","47.33"
"AUT","","ALL","1982","47.12"
"AUT","","ALL","1983","47.86"
"AUT","","ALL","1984","45.1"
"AUT","","ALL","1985","44.02"
"AUT","","ALL","1986","42.28"
"AUT","","ALL","1987","42.36"
"AUT","","ALL","1988","38.99"
"AUT","","ALL","1989","38.16"
"AUT","","ALL","1990","36.96"
"AUT","","ALL","1991","38.53"
"AUT","","ALL","1992","37.38"
"AUT","","ALL","1993","36.47"
"AUT","","ALL","1994","35.52"
"AUT","","ALL","1995","35.48"
"AUT","","ALL","1996","35.03"
"AUT","","ALL","1997","33.73"
"AUT","","ALL","1998","31.89"
"AUT","","ALL","1999","30.69"
"AUT","","ALL","2000","28.37"
"AUT","","ALL","2001","26.51"
"AUT","","ALL","2002","23.75"
"AUT","","ALL","2003","20.26"
"AUT","","ALL","2004","18.34"
"AUT","","ALL","2005","18.48"
"AUT","","ALL","2006","18.06"
"AUT","","ALL","2007","17.79"
"AUT","","ALL","2008","16.55"
"AUT","","ALL","2009","17.3"
"AUT","","ALL","2010","17.52"
"AUT","","ALL","2011","17"
"AUT","","ALL","2012","15.11"
"AUT","","ALL","2013","15.04"
"AUT","","ALL","2014","13.6"
"AUT","","ALL","2015","13.84"
"AUT","","ALL","2016","13.25"
"AUT","","ALL","2017","13.17"
"AUT","","ALL","2018","13.46"
"AUT","","ALL","2019","13.03"
"AUT","","ALL","2020","13.33"
"AUT","","ALL","2021","12.91"
"AZE","","ALL","1981","94.8"
"AZE","","ALL","1982","95.63"
"AZE","","ALL","1985","97.91"
"AZE","","ALL","1986","100.23"
"AZE","","ALL","1987","106.9"
"AZE","","ALL","1988","112.71"
"AZE","","ALL","1989","106.91"
"AZE","","ALL","1990","126.4"
"AZE","","ALL","1991","140.19"
"AZE","","ALL","1992","137.27"
"AZE","","ALL","1993","150.92"
"AZE","","ALL","1994","127.59"
"AZE","","ALL","1995","134.2"
"AZE","","ALL","1996","133.07"
