"COUNTRY","COUNTRY_GRP","SEX","YEAR","VALUE"
"ALB","","ALL","1975","33.3"
"ALB","","ALL","1976","33.8"
"ALB","","ALL","1977","34.2"
"ALB","","ALL","1978","34.7"
"ALB","","ALL","1979","35.1"
"ALB","","ALL","1980","35.6"
"ALB","","ALL","1981","36.1"
"ALB","","ALL","1982","36.5"
"ALB","","ALL","1983","37"
"ALB","","ALL","1984","37.5"
"ALB","","ALL","1985","38"
"ALB","","ALL","1986","38.5"
"ALB","","ALL","1987","39"
"ALB","","ALL","1988","39.5"
"ALB","","ALL","1989","40"
"ALB","","ALL","1990","49.84"
"ALB","","ALL","1991","50.07"
"ALB","","ALL","1992","50.29"
"ALB","","ALL","1993","50.52"
"ALB","","ALL","1994","50.75"
"ALB","","ALL","1995","50.99"
"ALB","","ALL","1996","51.24"
"ALB","","ALL","1997","51.52"
"ALB","","ALL","1998","51.84"
"ALB","","ALL","1999","52.18"
"ALB","","ALL","2000","52.56"
"ALB","","ALL","2001","52.97"
"ALB","","ALL","2002","53.41"
"ALB","","ALL","2003","53.87"
"ALB","","ALL","2004","54.34"
"ALB","","ALL","2005","54.81"
"ALB","","ALL","2006","55.3"
"ALB","","ALL","2007","55.78"
"ALB","","ALL","2008","56.25"
"ALB","","ALL","2009","56.71"
"ALB","","ALL","2010","57.16"
"ALB","","ALL","2011","57.6"
"ALB","","ALL","2012","58.02"
"ALB","","ALL","2013","58.44"
"ALB","","ALL","2014","58.85"
"ALB","","ALL","2015","59.27"
"ALB","","ALL","2016","59.7"
"ALB","","ALL","2017","60.11"
"ALB","","ALL","2018","60.52"
"ALB","","ALL","2019","60.93"
"ALB","","ALL","2020","61.33"
"ALB","","ALL","2021","61.74"
"ALB","","ALL","2022","62.16"
"AND","","ALL","1975","46.1"
"AND","","ALL","1976","47"
"AND","","ALL","1977","47.9"
"AND","","ALL","1978","48.8"
"AND","","ALL","1979","49.6"
"AND","","ALL","1980","50.4"
"AND","","ALL","1981","51.1"
"AND","","ALL","1982","51.9"
"AND","","ALL","1983","52.6"
"AND","","ALL","1984","53.2"
"AND","","ALL","1985","53.9"
"AND","","ALL","1986","54.5"
"AND","","ALL","1987","55"
"AND","","ALL","1988","55.5"
"AND","","ALL","1989","56"
"AND","","ALL","1990","43.46"
"AND","","ALL","1991","43.69"
"AND","","ALL","1992","43.92"
"AND","","ALL","1993","44.17"
"AND","","ALL","1994","44.43"
"AND","","ALL","1995","44.72"
"AND","","ALL","1996","45.02"
"AND","","ALL","1997","45.34"
"AND","","ALL","1998","45.66"
"AND","","ALL","1999","45.99"
"AND","","ALL","2000","46.31"
"AND","","ALL","2001","46.65"
"AND","","ALL","2002","47"
"AND","","ALL","2003","47.33"
"AND","","ALL","2004","47.64"
"AND","","ALL","2005","47.91"
"AND","","ALL","2006","48.11"
"AND","","ALL","2007","48.23"
"AND","","ALL","2008","48.3"
"AND","","ALL","2009","48.32"
"AND","","ALL","2010","48.3"
"AND","","ALL","2011","48.26"
"AND","","ALL","2012","48.24"
"AND","","ALL","2013","48.2"
"AND","","ALL","2014","48.15"
"AND","","ALL","2015","48.12"
"AND","","ALL","2016","48.11"
"AND","","ALL","2017","48.12"
"AND","","ALL","2018","48.13"
"AND","","ALL","2019","48.13"
"AND","","ALL","2020","48.14"
"AND","","ALL","2021","48.16"
"AND","","ALL","2022","48.17"
"ARM","","ALL","1975","33.9"
"ARM","","ALL","1976","34.6"
"ARM","","ALL","1977","35.2"
"ARM","","ALL","1978","35.9"
"ARM","","ALL","1979","36.5"
"ARM","","ALL","1980","37.1"
"ARM","","ALL","1981","37.7"
"ARM","","ALL","1982","38.3"
"ARM","","ALL","1983","38.9"
"ARM","","ALL","1984","39.4"
"ARM","","ALL","1985","39.9"
"ARM","","ALL","1986","40.4"
"ARM","","ALL","1987","40.9"
"ARM","","ALL","1988","41.4"
"ARM","","ALL","1989","41.9"
"ARM","","ALL","1990","38.38"
"ARM","","ALL","1991","38.9"
"ARM","","ALL","1992","39.45"
"ARM","","ALL","1993","40.02"
"ARM","","ALL","1994","40.59"
"ARM","","ALL","1995","41.15"
"ARM","","ALL","1996","41.72"
"ARM","","ALL","1997","42.29"
"ARM","","ALL","1998","42.86"
"ARM","","ALL","1999","43.44"
"ARM","","ALL","2000","44.02"
"ARM","","ALL","2001","44.6"
"ARM","","ALL","2002","45.18"
"ARM","","ALL","2003","45.76"
"ARM","","ALL","2004","46.34"
"ARM","","ALL","2005","46.91"
"ARM","","ALL","2006","47.48"
"ARM","","ALL","2007","48.05"
"ARM","","ALL","2008","48.61"
"ARM","","ALL","2009","49.16"
"ARM","","ALL","2010","49.7"
"ARM","","ALL","2011","50.23"
"ARM","","ALL","2012","50.75"
"ARM","","ALL","2013","51.26"
"ARM","","ALL","2014","51.75"
"ARM","","ALL","2015","52.24"
"ARM","","ALL","2016","52.71"
"ARM","","ALL","2017","53.17"
"ARM","","ALL","2018","53.62"
"ARM","","ALL","2019","54.07"
"ARM","","ALL","2020","54.52"
"ARM","","ALL","2021","54.97"
"ARM","","ALL","2022","55.43"
"AUT","","ALL","1975","34.7"
"AUT","","ALL","1976","35.1"
"AUT","","ALL","1977","35.6"
"AUT","","ALL","1978","36.1"
"AUT","","ALL","1979","36.6"
"AUT","","ALL","1980","37.1"
"AUT","","ALL","1981","37.6"
"AUT","","ALL","1982","38.1"
"AUT","","ALL","1983","38.6"
"AUT","","ALL","1984","39.1"
"AUT","","ALL","1985","39.7"
"AUT","","ALL","1986","40.2"
"AUT","","ALL","1987","40.7"
"AUT","","ALL","1988","41.3"
"AUT","","ALL","1989","41.8"
"AUT","","ALL","1990","39.78"
"AUT","","ALL","1991","40.09"
"AUT","","ALL","1992","40.4"
"AUT","","ALL","1993","40.7"
"AUT","","ALL","1994","41.02"
"AUT","","ALL","1995","41.33"
"AUT","","ALL","1996","41.65"
"AUT","","ALL","1997","41.96"
"AUT","","ALL","1998","42.27"
"AUT","","ALL","1999","42.58"
"AUT","","ALL","2000","42.88"
"AUT","","ALL","2001","43.16"
"AUT","","ALL","2002","43.43"
"AUT","","ALL","2003","43.67"
"AUT","","ALL","2004","43.9"
"AUT","","ALL","2005","44.1"
"AUT","","ALL","2006","44.27"
"AUT","","ALL","2007","44.4"
