"COUNTRY","COUNTRY_GRP","SEX","YEAR","VALUE"
"ALB","","ALL","1961","2223"
"ALB","","ALL","1962","2242"
"ALB","","ALL","1963","2156"
"ALB","","ALL","1964","2270"
"ALB","","ALL","1965","2254"
"ALB","","ALL","1966","2254"
"ALB","","ALL","1967","2262"
"ALB","","ALL","1968","2343"
"ALB","","ALL","1969","2404"
"ALB","","ALL","1970","2415"
"ALB","","ALL","1971","2360"
"ALB","","ALL","1972","2388"
"ALB","","ALL","1973","2432"
"ALB","","ALL","1974","2494"
"ALB","","ALL","1975","2494"
"ALB","","ALL","1976","2680"
"ALB","","ALL","1977","2776"
"ALB","","ALL","1978","2689"
"ALB","","ALL","1979","2607"
"ALB","","ALL","1980","2596"
"ALB","","ALL","1981","2676"
"ALB","","ALL","1982","2664"
"ALB","","ALL","1983","2798"
"ALB","","ALL","1984","2721"
"ALB","","ALL","1985","2565"
"ALB","","ALL","1986","2690"
"ALB","","ALL","1987","2497"
"ALB","","ALL","1988","2594"
"ALB","","ALL","1989","2569"
"ALB","","ALL","1990","2568"
"ALB","","ALL","1991","2572"
"ALB","","ALL","1992","2654"
"ALB","","ALL","1993","2795"
"ALB","","ALL","1994","2877"
"ALB","","ALL","1995","2717"
"ALB","","ALL","1996","2843"
"ALB","","ALL","1997","2725"
"ALB","","ALL","1998","2725"
"ALB","","ALL","1999","2797"
"ALB","","ALL","2000","2734"
"ALB","","ALL","2001","2803"
"ALB","","ALL","2002","2864"
"ALB","","ALL","2003","2772"
"ALB","","ALL","2004","2792"
"ALB","","ALL","2005","2874"
"ALB","","ALL","2006","2855"
"ALB","","ALL","2007","2860"
"ALB","","ALL","2008","2947"
"ALB","","ALL","2009","2993"
"ALB","","ALL","2010","3184"
"ALB","","ALL","2011","3237"
"ALB","","ALL","2012","3288"
"ALB","","ALL","2013","3293"
"ALB","","ALL","2014","3266"
"ALB","","ALL","2015","3280"
"ALB","","ALL","2016","3322"
"ALB","","ALL","2017","3326"
"ALB","","ALL","2018","3296"
"ALB","","ALL","2019","3338"
"ARM","","ALL","1992","2184"
"ARM","","ALL","1993","2099"
"ARM","","ALL","1994","2181"
"ARM","","ALL","1995","2270"
"ARM","","ALL","1996","2320"
"ARM","","ALL","1997","2330"
"ARM","","ALL","1998","2320"
"ARM","","ALL","1999","2288"
"ARM","","ALL","2000","2236"
"ARM","","ALL","2001","2239"
"ARM","","ALL","2002","2259"
"ARM","","ALL","2003","2432"
"ARM","","ALL","2004","2554"
"ARM","","ALL","2005","2668"
"ARM","","ALL","2006","2757"
"ARM","","ALL","2007","2761"
"ARM","","ALL","2008","2869"
"ARM","","ALL","2009","2819"
"ARM","","ALL","2010","2912"
"ARM","","ALL","2011","2946"
"ARM","","ALL","2012","2972"
"ARM","","ALL","2013","3020"
"ARM","","ALL","2014","3069"
"ARM","","ALL","2015","3090"
"ARM","","ALL","2016","3051"
"ARM","","ALL","2017","3072"
"ARM","","ALL","2018","3074"
"ARM","","ALL","2019","3022"
"AUT","","ALL","1961","3191"
"AUT","","ALL","1962","3193"
"AUT","","ALL","1963","3248"
"AUT","","ALL","1964","3270"
"AUT","","ALL","1965","3220"
"AUT","","ALL","1966","3232"
"AUT","","ALL","1967","3194"
"AUT","","ALL","1968","3221"
"AUT","","ALL","1969","3153"
"AUT","","ALL","1970","3217"
"AUT","","ALL","1971","3230"
"AUT","","ALL","1972","3207"
"AUT","","ALL","1973","3294"
"AUT","","ALL","1974","3201"
"AUT","","ALL","1975","3142"
"AUT","","ALL","1976","3243"
"AUT","","ALL","1977","3192"
"AUT","","ALL","1978","3213"
"AUT","","ALL","1979","3283"
"AUT","","ALL","1980","3355"
"AUT","","ALL","1981","3348"
"AUT","","ALL","1982","3400"
"AUT","","ALL","1983","3360"
"AUT","","ALL","1984","3361"
"AUT","","ALL","1985","3374"
"AUT","","ALL","1986","3429"
"AUT","","ALL","1987","3420"
"AUT","","ALL","1988","3422"
"AUT","","ALL","1989","3478"
"AUT","","ALL","1990","3510"
"AUT","","ALL","1991","3556"
"AUT","","ALL","1992","3546"
"AUT","","ALL","1993","3508"
"AUT","","ALL","1994","3557"
"AUT","","ALL","1995","3510"
"AUT","","ALL","1996","3551"
"AUT","","ALL","1997","3494"
"AUT","","ALL","1998","3608"
"AUT","","ALL","1999","3673"
"AUT","","ALL","2000","3726"
"AUT","","ALL","2001","3728"
"AUT","","ALL","2002","3652"
"AUT","","ALL","2003","3609"
"AUT","","ALL","2004","3606"
"AUT","","ALL","2005","3640"
"AUT","","ALL","2006","3719"
"AUT","","ALL","2007","3737"
"AUT","","ALL","2008","3717"
"AUT","","ALL","2009","3723"
"AUT","","ALL","2010","3724"
"AUT","","ALL","2011","3763"
"AUT","","ALL","2012","3740"
"AUT","","ALL","2013","3718"
"AUT","","ALL","2014","3672"
"AUT","","ALL","2015","3664"
"AUT","","ALL","2016","3659"
"AUT","","ALL","2017","3687"
"AUT","","ALL","2018","3699"
"AUT","","ALL","2019","3691"
"AZE","","ALL","1992","2318"
"AZE","","ALL","1993","2235"
"AZE","","ALL","1994","2159"
"AZE","","ALL","1995","2126"
"AZE","","ALL","1996","2223"
"AZE","","ALL","1997","2021"
"AZE","","ALL","1998","2119"
"AZE","","ALL","1999","2185"
"AZE","","ALL","2000","2282"
"AZE","","ALL","2001","2371"
"AZE","","ALL","2002","2461"
"AZE","","ALL","2003","2554"
"AZE","","ALL","2004","2639"
"AZE","","ALL","2005","2837"
"AZE","","ALL","2006","3006"
"AZE","","ALL","2007","3019"
"AZE","","ALL","2008","3026"
"AZE","","ALL","2009","2995"
"AZE","","ALL","2010","3071"
"AZE","","ALL","2011","3098"
"AZE","","ALL","2012","3105"
"AZE","","ALL","2013","3111"
"AZE","","ALL","2014","3093"
"AZE","","ALL","2015","3093"
"AZE","","ALL","2016","3081"
"AZE","","ALL","2017","3137"
"AZE","","ALL","2018","3145"
"AZE","","ALL","2019","3154"
"BEL","","ALL","2000","3709"
"BEL","","ALL","2001","3747"
"BEL","","ALL","2002","3749"
"BEL","","ALL","2003","3717"
"BEL","","ALL","2004","3722"
"BEL","","ALL","2005","3716"
"BEL","","ALL","2006","3716"
"BEL","","ALL","2007","3713"
"BEL","","ALL","2008","3702"
"BEL","","ALL","2009","3697"
"BEL","","ALL","2010","3708"
"BEL","","ALL","2011","3720"
"BEL","","ALL","2012","3715"
"BEL","","ALL","2013","3733"
"BEL","","ALL","2014","3789"
"BEL","","ALL","2015","3804"
"BEL","","ALL","2016","3774"
"BEL","","ALL","2017","3768"
"BEL","","ALL","2018","3774"
"BEL","","ALL","2019","3800"
"BGR","","ALL","1961","3172"
"BGR","","ALL","1962","3215"
"BGR","","ALL","1963","3281"
"BGR","","ALL","1964","3327"
"BGR","","ALL","1965","3410"
"BGR","","ALL","1966","3488"
"BGR","","ALL","1967","3450"
"BGR","","ALL","1968","3446"
"BGR","","ALL","1969","3473"
"BGR","","ALL","1970","3447"
"BGR","","ALL","1971","3524"
"BGR","","ALL","1972","3467"
"BGR","","ALL","1973","3466"
"BGR","","ALL","1974","3453"
"BGR","","ALL","1975","3500"
"BGR","","ALL","1976","3590"
"BGR","","ALL","1977","3501"
"BGR","","ALL","1978","3567"
"BGR","","ALL","1979","3585"
"BGR","","ALL","1980","3588"
"BGR","","ALL","1981","3657"
"BGR","","ALL","1982","3639"
"BGR","","ALL","1983","3612"
"BGR","","ALL","1984","3608"
"BGR","","ALL","1985","3596"
"BGR","","ALL","1986","3657"
"BGR","","ALL","1987","3678"
"BGR","","ALL","1988","3700"
"BGR","","ALL","1989","3623"
"BGR","","ALL","1990","3129"
"BGR","","ALL","1991","3041"
"BGR","","ALL","1992","3022"
"BGR","","ALL","1993","2958"
"BGR","","ALL","1994","2873"
"BGR","","ALL","1995","2896"
"BGR","","ALL","1996","2741"
"BGR","","ALL","1997","2676"
"BGR","","ALL","1998","2818"
"BGR","","ALL","1999","2879"
"BGR","","ALL","2000","2813"
"BGR","","ALL","2001","2816"
"BGR","","ALL","2002","2779"
"BGR","","ALL","2003","2757"
"BGR","","ALL","2004","2764"
"BGR","","ALL","2005","2723"
"BGR","","ALL","2006","2759"
"BGR","","ALL","2007","2734"
"BGR","","ALL","2008","2782"
"BGR","","ALL","2009","2785"
"BGR","","ALL","2010","2772"
"BGR","","ALL","2011","2777"
"BGR","","ALL","2012","2775"
"BGR","","ALL","2013","2827"
"BGR","","ALL","2014","2865"
"BGR","","ALL","2015","2753"
"BGR","","ALL","2016","2818"
"BGR","","ALL","2017","2826"
"BGR","","ALL","2018","2872"
"BGR","","ALL","2019","2854"
"BIH","","ALL","1992","2349"
"BIH","","ALL","1993","2454"
"BIH","","ALL","1994","2644"
"BIH","","ALL","1995","2636"
"BIH","","ALL","1996","2877"
"BIH","","ALL","1997","3090"
"BIH","","ALL","1998","3023"
"BIH","","ALL","1999","2936"
"BIH","","ALL","2000","2803"
"BIH","","ALL","2001","2903"
"BIH","","ALL","2002","2901"
"BIH","","ALL","2003","2834"
"BIH","","ALL","2004","3091"
"BIH","","ALL","2005","3038"
"BIH","","ALL","2006","3016"
"BIH","","ALL","2007","3064"
"BIH","","ALL","2008","3107"
"BIH","","ALL","2009","3079"
"BIH","","ALL","2010","3061"
"BIH","","ALL","2011","3072"
"BIH","","ALL","2012","3057"
"BIH","","ALL","2013","3105"
"BIH","","ALL","2014","3200"
"BIH","","ALL","2015","3268"
"BIH","","ALL","2016","3304"
"BIH","","ALL","2017","3274"
"BIH","","ALL","2018","3317"
"BIH","","ALL","2019","3320"
"BLR","","ALL","1992","3099"
"BLR","","ALL","1993","3194"
"BLR","","ALL","1994","3125"
"BLR","","ALL","1995","3195"
"BLR","","ALL","1996","3284"
"BLR","","ALL","1997","3282"
"BLR","","ALL","1998","3219"
"BLR","","ALL","1999","3117"
"BLR","","ALL","2000","2993"
"BLR","","ALL","2001","3046"
"BLR","","ALL","2002","2981"
"BLR","","ALL","2003","2821"
"BLR","","ALL","2004","2901"
"BLR","","ALL","2005","2987"
"BLR","","ALL","2006","3084"
"BLR","","ALL","2007","3186"
"BLR","","ALL","2008","3200"
"BLR","","ALL","2009","3126"
"BLR","","ALL","2010","3178"
"BLR","","ALL","2011","3223"
"BLR","","ALL","2012","3284"
"BLR","","ALL","2013","3295"
"BLR","","ALL","2014","3283"
"BLR","","ALL","2015","3254"
"BLR","","ALL","2016","3249"
"BLR","","ALL","2017","3262"
"BLR","","ALL","2018","3264"
"BLR","","ALL","2019","3295"
"","CARINFONET","ALL","1992","2704.91"
"","CARINFONET","ALL","1993","2750.66"
"","CARINFONET","ALL","1994","2803.53"
"","CARINFONET","ALL","1995","2689.49"
"","CARINFONET","ALL","1996","2643.13"
"","CARINFONET","ALL","1997","2662.61"
"","CARINFONET","ALL","1998","2491.3"
"","CARINFONET","ALL","1999","2339.55"
"","CARINFONET","ALL","2000","2346.52"
"","CARINFONET","ALL","2001","2369.4"
"","CARINFONET","ALL","2002","2464.69"
"","CARINFONET","ALL","2003","2525.75"
"","CARINFONET","ALL","2004","2560.65"
"","CARINFONET","ALL","2005","2622.82"
"","CARINFONET","ALL","2006","2668.39"
"","CARINFONET","ALL","2007","2705.1"
"","CARINFONET","ALL","2008","2717.35"
"","CARINFONET","ALL","2009","2719"
"","CARINFONET","ALL","2010","2901.33"
"","CARINFONET","ALL","2011","2950.34"
"","CARINFONET","ALL","2012","2984.84"
"","CARINFONET","ALL","2013","3013.67"
"","CARINFONET","ALL","2014","3033.02"
"","CARINFONET","ALL","2015","3037.79"
"","CARINFONET","ALL","2016","3047.54"
"","CARINFONET","ALL","2017","3050.93"
"","CARINFONET","ALL","2018","3092.47"
"","CARINFONET","ALL","2019","3088"
