"COUNTRY","COUNTRY_GRP","SEX","YEAR","VALUE"
"ALB","","ALL","1987","3353.71"
"ALB","","ALL","1988","3411.79"
"ALB","","ALL","1989","3464.58"
"ALB","","ALL","1992","2825.93"
"ALB","","ALL","1993","2569.84"
"ALB","","ALL","1994","2358.22"
"ALB","","ALL","1995","2978.22"
"ALB","","ALL","1996","3277.13"
"ALB","","ALL","1997","2939.83"
"ALB","","ALL","1998","3326.55"
"ALB","","ALL","1999","3021.15"
"ALB","","ALL","2000","3726.38"
"ALB","","ALL","2001","2735.83"
"ALB","","ALL","2002","3046.08"
"ALB","","ALL","2003","3391.65"
"ALB","","ALL","2004","3202.64"
"ALB","","ALL","2005","3018.41"
"ALB","","ALL","2006","2872.25"
"ALB","","ALL","2007","2475.4"
"ALB","","ALL","2008","2874.05"
"ALB","","ALL","2009","2734.58"
"ARM","","ALL","1981","3167.48"
"ARM","","ALL","1982","3543.44"
"ARM","","ALL","1985","3808.24"
"ARM","","ALL","1986","3736.64"
"ARM","","ALL","1987","3822.17"
"ARM","","ALL","1988","3951.12"
"ARM","","ALL","1989","4151.76"
"ARM","","ALL","1990","4102.94"
"ARM","","ALL","1991","4031.49"
"ARM","","ALL","1992","4361.34"
"ARM","","ALL","1993","4633.4"
"ARM","","ALL","1994","3941.86"
"ARM","","ALL","1995","3994.48"
"ARM","","ALL","1996","3877.71"
"ARM","","ALL","1997","3605.61"
"ARM","","ALL","1998","3370.34"
"ARM","","ALL","1999","3463.97"
"ARM","","ALL","2000","3196.15"
"ARM","","ALL","2001","3179.64"
"ARM","","ALL","2002","4725"
"ARM","","ALL","2003","4781.15"
"ARM","","ALL","2008","4139.51"
"ARM","","ALL","2012","3150.09"
"ARM","","ALL","2013","3024.32"
"ARM","","ALL","2014","3098.78"
"ARM","","ALL","2015","2939.95"
"ARM","","ALL","2016","3009.8"
"ARM","","ALL","2017","3354.11"
"ARM","","ALL","2018","3069.1"
"ARM","","ALL","2019","3020.14"
"ARM","","ALL","2022","2956.57"
"AUT","","ALL","1969","4165.51"
"AUT","","ALL","1970","4185.82"
"AUT","","ALL","1971","4248.08"
"AUT","","ALL","1972","4151.31"
"AUT","","ALL","1973","3910.23"
"AUT","","ALL","1974","3979.73"
"AUT","","ALL","1975","4079.93"
"AUT","","ALL","1976","4084.81"
"AUT","","ALL","1977","3890.71"
"AUT","","ALL","1978","4017.27"
"AUT","","ALL","1979","3796.19"
"AUT","","ALL","1980","3884.39"
"AUT","","ALL","1981","3861.22"
"AUT","","ALL","1982","3745.31"
"AUT","","ALL","1983","3851.3"
"AUT","","ALL","1984","3546.25"
"AUT","","ALL","1985","3589.49"
"AUT","","ALL","1986","3468.91"
"AUT","","ALL","1987","3270.49"
"AUT","","ALL","1988","3185.06"
"AUT","","ALL","1989","3115.65"
"AUT","","ALL","1990","2981.46"
"AUT","","ALL","1991","3051.58"
"AUT","","ALL","1992","3002.43"
"AUT","","ALL","1993","2958.7"
"AUT","","ALL","1994","2852.62"
"AUT","","ALL","1995","2844.85"
"AUT","","ALL","1996","2827.15"
"AUT","","ALL","1997","2762.55"
"AUT","","ALL","1998","2713.36"
"AUT","","ALL","1999","2646.71"
"AUT","","ALL","2000","2487.72"
"AUT","","ALL","2001","2347.28"
