"COUNTRY","COUNTRY_GRP","SEX","YEAR","VALUE"
"ALB","","ALL","1961","44.85"
"ALB","","ALL","1962","46.06"
"ALB","","ALL","1963","43.14"
"ALB","","ALL","1964","48.29"
"ALB","","ALL","1965","44.41"
"ALB","","ALL","1966","47.17"
"ALB","","ALL","1967","47.3"
"ALB","","ALL","1968","47.92"
"ALB","","ALL","1969","48.66"
"ALB","","ALL","1970","52.08"
"ALB","","ALL","1971","48.85"
"ALB","","ALL","1972","44.39"
"ALB","","ALL","1973","48.88"
"ALB","","ALL","1974","51.92"
"ALB","","ALL","1975","54.15"
"ALB","","ALL","1976","57.69"
"ALB","","ALL","1977","59.44"
"ALB","","ALL","1978","57.5"
"ALB","","ALL","1979","61.12"
"ALB","","ALL","1980","58.53"
"ALB","","ALL","1981","60.54"
"ALB","","ALL","1982","57.83"
"ALB","","ALL","1983","63.25"
"ALB","","ALL","1984","60.42"
"ALB","","ALL","1985","56.8"
"ALB","","ALL","1986","57.23"
"ALB","","ALL","1987","57.36"
"ALB","","ALL","1988","59.15"
"ALB","","ALL","1989","61.2"
"ALB","","ALL","1990","60.92"
"ALB","","ALL","1991","68.58"
"ALB","","ALL","1992","69.9"
"ALB","","ALL","1993","74.06"
"ALB","","ALL","1994","74.98"
"ALB","","ALL","1995","78.01"
"ALB","","ALL","1996","82.86"
"ALB","","ALL","1997","73.15"
"ALB","","ALL","1998","74.79"
"ALB","","ALL","1999","76.82"
"ALB","","ALL","2000","75.56"
"ALB","","ALL","2001","79.98"
"ALB","","ALL","2002","81.06"
"ALB","","ALL","2003","82.36"
"ALB","","ALL","2004","88.72"
"ALB","","ALL","2005","88.6"
"ALB","","ALL","2006","91.55"
"ALB","","ALL","2007","91.29"
"ALB","","ALL","2008","95.42"
"ALB","","ALL","2009","101.91"
"ALB","","ALL","2010","103.83"
"ALB","","ALL","2011","104.87"
"ALB","","ALL","2012","108.04"
"ALB","","ALL","2013","108.13"
"ALB","","ALL","2014","110.82"
"ALB","","ALL","2015","111.67"
"ALB","","ALL","2016","116.65"
"ALB","","ALL","2017","118.83"
"ALB","","ALL","2018","116.34"
"ALB","","ALL","2019","115.99"
"ARM","","ALL","1992","31.49"
"ARM","","ALL","1993","27.49"
"ARM","","ALL","1994","38.89"
"ARM","","ALL","1995","43.79"
"ARM","","ALL","1996","44.11"
"ARM","","ALL","1997","44.3"
"ARM","","ALL","1998","38.36"
"ARM","","ALL","1999","38.32"
"ARM","","ALL","2000","41.35"
"ARM","","ALL","2001","42.67"
"ARM","","ALL","2002","48.74"
"ARM","","ALL","2003","57.49"
"ARM","","ALL","2004","55.95"
"ARM","","ALL","2005","63.01"
"ARM","","ALL","2006","66.44"
"ARM","","ALL","2007","76.62"
"ARM","","ALL","2008","81.67"
"ARM","","ALL","2009","77.87"
"ARM","","ALL","2010","86.94"
"ARM","","ALL","2011","92.88"
"ARM","","ALL","2012","95.49"
"ARM","","ALL","2013","98.47"
"ARM","","ALL","2014","96.99"
"ARM","","ALL","2015","96.13"
"ARM","","ALL","2016","94.73"
"ARM","","ALL","2017","95.9"
"ARM","","ALL","2018","99.89"
"ARM","","ALL","2019","115.83"
"AUT","","ALL","1961","111.74"
"AUT","","ALL","1962","114.61"
"AUT","","ALL","1963","118.99"
"AUT","","ALL","1964","121.53"
"AUT","","ALL","1965","120.73"
"AUT","","ALL","1966","120.98"
"AUT","","ALL","1967","120.99"
"AUT","","ALL","1968","121.95"
"AUT","","ALL","1969","122.43"
"AUT","","ALL","1970","124.69"
"AUT","","ALL","1971","127.19"
"AUT","","ALL","1972","129.14"
"AUT","","ALL","1973","132.34"
"AUT","","ALL","1974","128.22"
"AUT","","ALL","1975","128.62"
"AUT","","ALL","1976","136.75"
"AUT","","ALL","1977","135.68"
"AUT","","ALL","1978","137.67"
"AUT","","ALL","1979","142.14"
"AUT","","ALL","1980","147.52"
"AUT","","ALL","1981","149.6"
"AUT","","ALL","1982","152.16"
"AUT","","ALL","1983","151.81"
"AUT","","ALL","1984","151.61"
"AUT","","ALL","1985","154.35"
"AUT","","ALL","1986","154.91"
"AUT","","ALL","1987","154.49"
"AUT","","ALL","1988","150.73"
"AUT","","ALL","1989","155.64"
"AUT","","ALL","1990","156.24"
"AUT","","ALL","1991","159.23"
"AUT","","ALL","1992","161.42"
"AUT","","ALL","1993","159.35"
"AUT","","ALL","1994","158.71"
"AUT","","ALL","1995","152.79"
"AUT","","ALL","1996","155.92"
"AUT","","ALL","1997","156.7"
"AUT","","ALL","1998","156.33"
"AUT","","ALL","1999","157.23"
"AUT","","ALL","2000","159.02"
"AUT","","ALL","2001","160.66"
"AUT","","ALL","2002","154.28"
"AUT","","ALL","2003","151.28"
"AUT","","ALL","2004","155.6"
"AUT","","ALL","2005","152.26"
"AUT","","ALL","2006","162.3"
"AUT","","ALL","2007","162.77"
"AUT","","ALL","2008","161.86"
"AUT","","ALL","2009","167.82"
"AUT","","ALL","2010","174.21"
"AUT","","ALL","2011","173.28"
"AUT","","ALL","2012","172.79"
"AUT","","ALL","2013","171.68"
"AUT","","ALL","2014","162.15"
"AUT","","ALL","2015","163.65"
"AUT","","ALL","2016","162.3"
"AUT","","ALL","2017","165.53"
"AUT","","ALL","2018","166.1"
"AUT","","ALL","2019","164.54"
"AZE","","ALL","1992","39.1"
"AZE","","ALL","1993","36.1"
"AZE","","ALL","1994","38.13"
"AZE","","ALL","1995","37.19"
"AZE","","ALL","1996","41.84"
"AZE","","ALL","1997","32.92"
"AZE","","ALL","1998","34.3"
"AZE","","ALL","1999","37.51"
"AZE","","ALL","2000","37.25"
"AZE","","ALL","2001","38.83"
"AZE","","ALL","2002","41.2"
"AZE","","ALL","2003","46.38"
"AZE","","ALL","2004","50.1"
"AZE","","ALL","2005","50.04"
"AZE","","ALL","2006","49.4"
"AZE","","ALL","2007","48"
"AZE","","ALL","2008","49.39"
"AZE","","ALL","2009","52.86"
"AZE","","ALL","2010","61.2"
"AZE","","ALL","2011","62.12"
"AZE","","ALL","2012","66.27"
"AZE","","ALL","2013","64.01"
"AZE","","ALL","2014","64.56"
"AZE","","ALL","2015","64.26"
"AZE","","ALL","2016","64.24"
"AZE","","ALL","2017","67.36"
"AZE","","ALL","2018","66.75"
"AZE","","ALL","2019","65.4"
"BEL","","ALL","2000","161.53"
"BEL","","ALL","2001","164.94"
"BEL","","ALL","2002","165.81"
"BEL","","ALL","2003","162.06"
"BEL","","ALL","2004","160.79"
"BEL","","ALL","2005","163.34"
"BEL","","ALL","2006","163.62"
"BEL","","ALL","2007","165.2"
"BEL","","ALL","2008","162.36"
"BEL","","ALL","2009","159.41"
"BEL","","ALL","2010","161.27"
"BEL","","ALL","2011","167.7"
"BEL","","ALL","2012","161.57"
"BEL","","ALL","2013","162.32"
"BEL","","ALL","2014","161.69"
"BEL","","ALL","2015","166.57"
"BEL","","ALL","2016","165.24"
"BEL","","ALL","2017","166.86"
"BEL","","ALL","2018","163.42"
"BEL","","ALL","2019","173.38"
"BGR","","ALL","1961","72.26"
"BGR","","ALL","1962","74.3"
"BGR","","ALL","1963","76.08"
"BGR","","ALL","1964","77.85"
"BGR","","ALL","1965","79.21"
"BGR","","ALL","1966","81.03"
"BGR","","ALL","1967","87.43"
"BGR","","ALL","1968","84.87"
"BGR","","ALL","1969","82.82"
"BGR","","ALL","1970","82.89"
"BGR","","ALL","1971","86.83"
"BGR","","ALL","1972","89.08"
"BGR","","ALL","1973","89.95"
"BGR","","ALL","1974","91.83"
"BGR","","ALL","1975","98.15"
"BGR","","ALL","1976","100.38"
"BGR","","ALL","1977","100.6"
"BGR","","ALL","1978","102.11"
"BGR","","ALL","1979","106.05"
"BGR","","ALL","1980","105.39"
"BGR","","ALL","1981","110.16"
"BGR","","ALL","1982","111.2"
"BGR","","ALL","1983","113.41"
"BGR","","ALL","1984","113.84"
"BGR","","ALL","1985","116.77"
"BGR","","ALL","1986","120.82"
"BGR","","ALL","1987","121.43"
"BGR","","ALL","1988","121.74"
"BGR","","ALL","1989","122.39"
"BGR","","ALL","1990","101.21"
"BGR","","ALL","1991","96.3"
"BGR","","ALL","1992","102.47"
"BGR","","ALL","1993","99.4"
"BGR","","ALL","1994","90.62"
"BGR","","ALL","1995","91.7"
"BGR","","ALL","1996","88.03"
"BGR","","ALL","1997","85.67"
"BGR","","ALL","1998","95.69"
"BGR","","ALL","1999","92.16"
"BGR","","ALL","2000","92.31"
"BGR","","ALL","2001","92.23"
"BGR","","ALL","2002","92.45"
"BGR","","ALL","2003","94.36"
"BGR","","ALL","2004","95.23"
"BGR","","ALL","2005","95.75"
