"COUNTRY","COUNTRY_GRP","SEX","YEAR","VALUE"
"ALB","","ALL","1986","700"
"ALB","","ALL","1987","730"
"ALB","","ALL","1988","730"
"ALB","","ALL","1989","760"
"ALB","","ALL","1990","650"
"ALB","","ALL","1991","410"
"ALB","","ALL","1992","280"
"ALB","","ALL","1993","320"
"ALB","","ALL","1994","380"
"ALB","","ALL","1995","640"
"ALB","","ALL","1996","890"
"ALB","","ALL","1997","800"
"ALB","","ALL","1998","860"
"ALB","","ALL","1999","950"
"ALB","","ALL","2000","1100"
"ALB","","ALL","2001","1280"
"ALB","","ALL","2002","1370"
"ALB","","ALL","2003","1650"
"ALB","","ALL","2004","2100"
"ALB","","ALL","2005","2620"
"ALB","","ALL","2006","3050"
"ALB","","ALL","2007","3460"
"ALB","","ALL","2008","4040"
"ALB","","ALL","2009","4280"
"ALB","","ALL","2010","4360"
"ALB","","ALL","2011","4410"
"ALB","","ALL","2012","4360"
"ALB","","ALL","2013","4540"
"ALB","","ALL","2014","4540"
"ALB","","ALL","2015","4390"
"ALB","","ALL","2016","4320"
"ALB","","ALL","2017","4290"
"ALB","","ALL","2018","4860"
"ALB","","ALL","2019","5230"
"ALB","","ALL","2020","5260"
"ALB","","ALL","2021","6110"
"AND","","ALL","2019","46040"
"ARM","","ALL","1992","310"
"ARM","","ALL","1993","360"
"ARM","","ALL","1994","400"
"ARM","","ALL","1995","470"
"ARM","","ALL","1996","520"
"ARM","","ALL","1997","560"
"ARM","","ALL","1998","590"
"ARM","","ALL","1999","610"
"ARM","","ALL","2000","660"
"ARM","","ALL","2001","710"
"ARM","","ALL","2002","800"
"ARM","","ALL","2003","960"
"ARM","","ALL","2004","1180"
"ARM","","ALL","2005","1540"
"ARM","","ALL","2006","2020"
"ARM","","ALL","2007","2760"
"ARM","","ALL","2008","3600"
"ARM","","ALL","2009","3340"
"ARM","","ALL","2010","3470"
"ARM","","ALL","2011","3530"
"ARM","","ALL","2012","3880"
"ARM","","ALL","2013","4110"
"ARM","","ALL","2014","4140"
"ARM","","ALL","2015","4010"
"ARM","","ALL","2016","3760"
"ARM","","ALL","2017","3950"
"ARM","","ALL","2018","4240"
"ARM","","ALL","2019","4660"
"ARM","","ALL","2020","4220"
"ARM","","ALL","2021","4560"
"AUT","","ALL","1970","2070"
"AUT","","ALL","1971","2320"
"AUT","","ALL","1972","2760"
"AUT","","ALL","1973","3580"
"AUT","","ALL","1974","4650"
"AUT","","ALL","1975","5540"
"AUT","","ALL","1976","5980"
"AUT","","ALL","1977","6660"
"AUT","","ALL","1978","7540"
"AUT","","ALL","1979","9620"
"AUT","","ALL","1980","11460"
"AUT","","ALL","1981","11180"
"AUT","","ALL","1982","10380"
"AUT","","ALL","1983","9600"
"AUT","","ALL","1984","9270"
"AUT","","ALL","1985","9360"
"AUT","","ALL","1986","10820"
"AUT","","ALL","1987","13810"
"AUT","","ALL","1988","18070"
"AUT","","ALL","1989","19300"
"AUT","","ALL","1990","20630"
"AUT","","ALL","1991","21810"
"AUT","","ALL","1992","24520"
"AUT","","ALL","1993","24870"
"AUT","","ALL","1994","26140"
"AUT","","ALL","1995","28190"
"AUT","","ALL","1996","30090"
"AUT","","ALL","1997","29560"
"AUT","","ALL","1998","27970"
"AUT","","ALL","1999","27080"
"AUT","","ALL","2000","26810"
"AUT","","ALL","2001","25320"
"AUT","","ALL","2002","25030"
"AUT","","ALL","2003","28100"
"AUT","","ALL","2004","33850"
"AUT","","ALL","2005","38770"
"AUT","","ALL","2006","41500"
"AUT","","ALL","2007","44540"
"AUT","","ALL","2008","49210"
"AUT","","ALL","2009","49150"
"AUT","","ALL","2010","49750"
"AUT","","ALL","2011","50700"
"AUT","","ALL","2012","50100"
"AUT","","ALL","2013","50720"
"AUT","","ALL","2014","50390"
"AUT","","ALL","2015","47480"
"AUT","","ALL","2016","46240"
"AUT","","ALL","2017","45040"
"AUT","","ALL","2018","49010"
"AUT","","ALL","2019","51010"
"AUT","","ALL","2020","48360"
"AUT","","ALL","2021","52210"
"AZE","","ALL","1993","110"
"AZE","","ALL","1994","80"
"AZE","","ALL","1995","180"
"AZE","","ALL","1996","240"
"AZE","","ALL","1997","410"
"AZE","","ALL","1998","510"
"AZE","","ALL","1999","600"
"AZE","","ALL","2000","630"
"AZE","","ALL","2001","680"
"AZE","","ALL","2002","740"
"AZE","","ALL","2003","840"
"AZE","","ALL","2004","960"
"AZE","","ALL","2005","1290"
"AZE","","ALL","2006","1920"
"AZE","","ALL","2007","2730"
"AZE","","ALL","2008","3890"
"AZE","","ALL","2009","4820"
"AZE","","ALL","2010","5410"
"AZE","","ALL","2011","5570"
"AZE","","ALL","2012","6480"
"AZE","","ALL","2013","7450"
"AZE","","ALL","2014","7740"
"AZE","","ALL","2015","6610"
"AZE","","ALL","2016","4790"
"AZE","","ALL","2017","4110"
"AZE","","ALL","2018","4080"
"AZE","","ALL","2019","4510"
"AZE","","ALL","2020","4480"
"AZE","","ALL","2021","4880"
"BEL","","ALL","1970","2790"
"BEL","","ALL","1971","3080"
"BEL","","ALL","1972","3640"
"BEL","","ALL","1973","4690"
"BEL","","ALL","1974","6000"
"BEL","","ALL","1975","6910"
"BEL","","ALL","1976","7580"
"BEL","","ALL","1977","8220"
"BEL","","ALL","1978","9560"
"BEL","","ALL","1979","11730"
"BEL","","ALL","1980","13980"
"BEL","","ALL","1981","13190"
"BEL","","ALL","1982","11180"
"BEL","","ALL","1983","9430"
"BEL","","ALL","1984","8860"
"BEL","","ALL","1985","8820"
"BEL","","ALL","1986","10170"
"BEL","","ALL","1987","13090"
"BEL","","ALL","1988","17010"
"BEL","","ALL","1989","18030"
"BEL","","ALL","1990","19310"
"BEL","","ALL","1991","20580"
"BEL","","ALL","1992","23170"
"BEL","","ALL","1993","23410"
"BEL","","ALL","1994","25090"
"BEL","","ALL","1995","27070"
"BEL","","ALL","1996","28550"
"BEL","","ALL","1997","28450"
"BEL","","ALL","1998","26530"
"BEL","","ALL","1999","25980"
"BEL","","ALL","2000","25890"
"BEL","","ALL","2001","24460"
"BEL","","ALL","2002","24060"
"BEL","","ALL","2003","27100"
"BEL","","ALL","2004","32910"
"BEL","","ALL","2005","37780"
"BEL","","ALL","2006","39940"
"BEL","","ALL","2007","42740"
"BEL","","ALL","2008","46570"
"BEL","","ALL","2009","46980"
"BEL","","ALL","2010","47080"
"BEL","","ALL","2011","46490"
"BEL","","ALL","2012","47130"
"BEL","","ALL","2013","47900"
"BEL","","ALL","2014","47820"
"BEL","","ALL","2015","45570"
"BEL","","ALL","2016","43400"
"BEL","","ALL","2017","42520"
"BEL","","ALL","2018","46070"
"BEL","","ALL","2019","48050"
"BEL","","ALL","2020","45810"
"BEL","","ALL","2021","50510"
"BGR","","ALL","1982","2360"
"BGR","","ALL","1983","2090"
"BGR","","ALL","1984","2010"
"BGR","","ALL","1985","1950"
"BGR","","ALL","1986","2190"
"BGR","","ALL","1987","2720"
"BGR","","ALL","1988","3110"
"BGR","","ALL","1989","2830"
"BGR","","ALL","1990","2250"
"BGR","","ALL","1991","1620"
"BGR","","ALL","1992","1430"
"BGR","","ALL","1993","1250"
"BGR","","ALL","1994","1240"
"BGR","","ALL","1995","1520"
"BGR","","ALL","1996","1590"
"BGR","","ALL","1997","1460"
"BGR","","ALL","1998","1440"
"BGR","","ALL","1999","1480"
"BGR","","ALL","2000","1660"
"BGR","","ALL","2001","1770"
"BGR","","ALL","2002","1970"
"BGR","","ALL","2003","2370"
"BGR","","ALL","2004","3060"
"BGR","","ALL","2005","3800"
"BGR","","ALL","2006","4300"
