COUNTRY,COUNTRY_GRP,SEX,YEAR,VALUE
ALB,,ALL,1987,72.18
ALB,,ALL,1988,72.54
ALB,,ALL,1989,71.97
ALB,,ALL,1990,72.61
ALB,,ALL,1992,73.22
ALB,,ALL,1993,73.74
ALB,,ALL,1994,75.68
ALB,,ALL,1995,75.02
ALB,,ALL,1996,74.79
ALB,,ALL,1997,75.36
ALB,,ALL,1998,75.25
ALB,,ALL,1999,76.32
ALB,,ALL,2000,75.1
ALB,,ALL,2001,77.18
ALB,,ALL,2002,76.4
ALB,,ALL,2003,75.77
ALB,,ALL,2004,76.24
ALB,,ALL,2005,76.83
ALB,,ALL,2006,77.67
ALB,,ALL,2007,79.69
ALB,,ALL,2008,78.9
ALB,,ALL,2009,79.64
AND,,ALL,2006,81.5
ARM,,ALL,1970,73.03
ARM,,ALL,1971,74.26
ARM,,ALL,1972,73.25
ARM,,ALL,1973,73.33
ARM,,ALL,1974,73.45
ARM,,ALL,1975,72.59
ARM,,ALL,1976,72.68
ARM,,ALL,1977,72.99
ARM,,ALL,1978,72.64
ARM,,ALL,1979,72.54
ARM,,ALL,1980,72.89
ARM,,ALL,1981,73.83
ARM,,ALL,1982,73.39
ARM,,ALL,1983,72.83
ARM,,ALL,1984,72.64
ARM,,ALL,1985,72.57
ARM,,ALL,1986,73.1
ARM,,ALL,1987,73.07
ARM,,ALL,1988,60.97
ARM,,ALL,1989,72.25
ARM,,ALL,1990,72.08
ARM,,ALL,1991,72.58
ARM,,ALL,1992,71.54
ARM,,ALL,1993,71.15
ARM,,ALL,1994,72.52
ARM,,ALL,1995,72.99
ARM,,ALL,1996,73.21
ARM,,ALL,1997,74.08
ARM,,ALL,1998,74.91
ARM,,ALL,1999,74.84
ARM,,ALL,2000,75.73
ARM,,ALL,2001,75.9
ARM,,ALL,2002,72.88
ARM,,ALL,2003,73.08
ARM,,ALL,2008,73.67
ARM,,ALL,2009,73.85
ARM,,ALL,2012,74.64
ARM,,ALL,2013,75.17
ARM,,ALL,2014,75.18
ARM,,ALL,2015,75.17
ARM,,ALL,2017,75.98
ARM,,ALL,2018,76.67
ARM,,ALL,2019,76.75
AUT,,ALL,1969,69.98
AUT,,ALL,1970,70.02
AUT,,ALL,1971,70.28
AUT,,ALL,1972,70.61
AUT,,ALL,1973,71.15
AUT,,ALL,1974,71.22
AUT,,ALL,1975,71.35
AUT,,ALL,1976,71.8
AUT,,ALL,1977,72.19
AUT,,ALL,1978,72.24
AUT,,ALL,1979,72.61
AUT,,ALL,1980,72.78
AUT,,ALL,1981,73.08
AUT,,ALL,1982,73.26
AUT,,ALL,1983,73.26
AUT,,ALL,1984,73.87
AUT,,ALL,1985,74.11
AUT,,ALL,1986,74.6
AUT,,ALL,1987,75.05
AUT,,ALL,1988,75.52
AUT,,ALL,1989,75.6
AUT,,ALL,1990,75.9
AUT,,ALL,1991,75.95
AUT,,ALL,1992,76.13
AUT,,ALL,1993,76.33
AUT,,ALL,1994,76.71
AUT,,ALL,1995,76.97
AUT,,ALL,1996,77.24
AUT,,ALL,1997,77.61
AUT,,ALL,1998,77.93
AUT,,ALL,1999,78.13
AUT,,ALL,2000,78.47
AUT,,ALL,2001,78.95
AUT,,ALL,2002,79.01
AUT,,ALL,2003,78.89
AUT,,ALL,2004,79.43
AUT,,ALL,2005,79.66
AUT,,ALL,2006,80.19
AUT,,ALL,2007,80.46
AUT,,ALL,2008,80.72
AUT,,ALL,2009,80.57
AUT,,ALL,2010,80.88
AUT,,ALL,2011,81.27
AUT,,ALL,2012,81.19
AUT,,ALL,2013,81.4
AUT,,ALL,2014,81.79
AUT,,ALL,2015,81.45
AUT,,ALL,2016,81.93
AUT,,ALL,2017,81.87
