"COUNTRY","COUNTRY_GRP","SEX","YEAR","VALUE"
"ALB","","ALL","1961","66.11"
"ALB","","ALL","1962","66.12"
"ALB","","ALL","1963","64.58"
"ALB","","ALL","1964","65.59"
"ALB","","ALL","1965","66.63"
"ALB","","ALL","1966","64.92"
"ALB","","ALL","1967","66.39"
"ALB","","ALL","1968","67.72"
"ALB","","ALL","1969","68.97"
"ALB","","ALL","1970","69.46"
"ALB","","ALL","1971","69.16"
"ALB","","ALL","1972","70.68"
"ALB","","ALL","1973","71.02"
"ALB","","ALL","1974","72.73"
"ALB","","ALL","1975","71.49"
"ALB","","ALL","1976","77.71"
"ALB","","ALL","1977","81.38"
"ALB","","ALL","1978","79.4"
"ALB","","ALL","1979","75.79"
"ALB","","ALL","1980","75.89"
"ALB","","ALL","1981","79.11"
"ALB","","ALL","1982","79.05"
"ALB","","ALL","1983","82.78"
"ALB","","ALL","1984","80.89"
"ALB","","ALL","1985","76.32"
"ALB","","ALL","1986","79.89"
"ALB","","ALL","1987","73.83"
"ALB","","ALL","1988","77.26"
"ALB","","ALL","1989","77.02"
"ALB","","ALL","1990","77.62"
"ALB","","ALL","1991","78.73"
"ALB","","ALL","1992","85.19"
"ALB","","ALL","1993","88.74"
"ALB","","ALL","1994","94.08"
"ALB","","ALL","1995","89.77"
"ALB","","ALL","1996","94.47"
"ALB","","ALL","1997","89.03"
"ALB","","ALL","1998","88.42"
"ALB","","ALL","1999","92.76"
"ALB","","ALL","2000","90.39"
"ALB","","ALL","2001","92.83"
"ALB","","ALL","2002","97.92"
"ALB","","ALL","2003","95.79"
"ALB","","ALL","2004","95.27"
"ALB","","ALL","2005","98.24"
"ALB","","ALL","2006","97.63"
"ALB","","ALL","2007","97.28"
"ALB","","ALL","2008","101.95"
"ALB","","ALL","2009","101.91"
"ALB","","ALL","2010","105.59"
"ALB","","ALL","2011","108.04"
"ALB","","ALL","2012","108.89"
"ALB","","ALL","2013","110.29"
"ALB","","ALL","2014","109.59"
"ALB","","ALL","2015","111.67"
"ALB","","ALL","2016","114.32"
"ALB","","ALL","2017","114.72"
"ALB","","ALL","2018","112.89"
"ALB","","ALL","2019","116.02"
"ARM","","ALL","1992","63.58"
"ARM","","ALL","1993","58.53"
"ARM","","ALL","1994","61.59"
"ARM","","ALL","1995","61.64"
"ARM","","ALL","1996","63.29"
"ARM","","ALL","1997","64.89"
"ARM","","ALL","1998","66.31"
"ARM","","ALL","1999","66.5"
"ARM","","ALL","2000","65.33"
"ARM","","ALL","2001","65.25"
"ARM","","ALL","2002","66.3"
"ARM","","ALL","2003","70.15"
"ARM","","ALL","2004","75.06"
"ARM","","ALL","2005","77.37"
"ARM","","ALL","2006","80.89"
"ARM","","ALL","2007","82.22"
"ARM","","ALL","2008","87.6"
"ARM","","ALL","2009","84.58"
"ARM","","ALL","2010","87.43"
"ARM","","ALL","2011","90.79"
"ARM","","ALL","2012","90.93"
"ARM","","ALL","2013","93.28"
"ARM","","ALL","2014","97.48"
"ARM","","ALL","2015","97.44"
"ARM","","ALL","2016","97.19"
"ARM","","ALL","2017","97.7"
"ARM","","ALL","2018","97.38"
"ARM","","ALL","2019","94.29"
"AUT","","ALL","1961","88.77"
"AUT","","ALL","1962","89.72"
"AUT","","ALL","1963","90.36"
"AUT","","ALL","1964","91.18"
"AUT","","ALL","1965","89.69"
"AUT","","ALL","1966","89.06"
"AUT","","ALL","1967","88.97"
"AUT","","ALL","1968","89.79"
"AUT","","ALL","1969","89.23"
"AUT","","ALL","1970","89.37"
"AUT","","ALL","1971","90.05"
"AUT","","ALL","1972","90.65"
"AUT","","ALL","1973","91.07"
"AUT","","ALL","1974","89.4"
"AUT","","ALL","1975","90.55"
"AUT","","ALL","1976","92.45"
"AUT","","ALL","1977","91.17"
"AUT","","ALL","1978","93.14"
"AUT","","ALL","1979","94.76"
"AUT","","ALL","1980","94.95"
"AUT","","ALL","1981","96.98"
"AUT","","ALL","1982","95.82"
"AUT","","ALL","1983","95.85"
"AUT","","ALL","1984","95.98"
"AUT","","ALL","1985","96.06"
"AUT","","ALL","1986","97.74"
"AUT","","ALL","1987","98.73"
"AUT","","ALL","1988","97.91"
"AUT","","ALL","1989","100.62"
"AUT","","ALL","1990","102.46"
"AUT","","ALL","1991","103.15"
"AUT","","ALL","1992","103.95"
"AUT","","ALL","1993","102.52"
"AUT","","ALL","1994","104.88"
"AUT","","ALL","1995","100.54"
"AUT","","ALL","1996","103.21"
"AUT","","ALL","1997","100.08"
"AUT","","ALL","1998","103.98"
"AUT","","ALL","1999","105.49"
"AUT","","ALL","2000","106.03"
"AUT","","ALL","2001","106.89"
"AUT","","ALL","2002","106.05"
"AUT","","ALL","2003","102.09"
"AUT","","ALL","2004","100.49"
"AUT","","ALL","2005","102.69"
"AUT","","ALL","2006","101.46"
"AUT","","ALL","2007","103.67"
"AUT","","ALL","2008","101.78"
"AUT","","ALL","2009","102.36"
"AUT","","ALL","2010","106.24"
"AUT","","ALL","2011","107.3"
"AUT","","ALL","2012","102.78"
"AUT","","ALL","2013","105.03"
"AUT","","ALL","2014","106.52"
"AUT","","ALL","2015","107.08"
"AUT","","ALL","2016","109.6"
"AUT","","ALL","2017","107.42"
"AUT","","ALL","2018","109.71"
"AUT","","ALL","2019","108.95"
"AZE","","ALL","1992","69.39"
"AZE","","ALL","1993","67.43"
"AZE","","ALL","1994","62.92"
"AZE","","ALL","1995","62.14"
"AZE","","ALL","1996","62.6"
"AZE","","ALL","1997","60.18"
"AZE","","ALL","1998","63.33"
"AZE","","ALL","1999","64.98"
"AZE","","ALL","2000","67.17"
"AZE","","ALL","2001","68.95"
"AZE","","ALL","2002","70.88"
"AZE","","ALL","2003","73.1"
"AZE","","ALL","2004","75.24"
"AZE","","ALL","2005","81.91"
"AZE","","ALL","2006","86.7"
"AZE","","ALL","2007","87.76"
"AZE","","ALL","2008","89.07"
"AZE","","ALL","2009","89.37"
"AZE","","ALL","2010","91.09"
"AZE","","ALL","2011","92.41"
"AZE","","ALL","2012","91.38"
"AZE","","ALL","2013","92.48"
"AZE","","ALL","2014","91.75"
"AZE","","ALL","2015","90.77"
"AZE","","ALL","2016","90.9"
"AZE","","ALL","2017","92.41"
"AZE","","ALL","2018","94.62"
"AZE","","ALL","2019","95.92"
"BEL","","ALL","2000","96.58"
"BEL","","ALL","2001","100.83"
"BEL","","ALL","2002","100.64"
"BEL","","ALL","2003","99.47"
"BEL","","ALL","2004","99.25"
"BEL","","ALL","2005","99.26"
"BEL","","ALL","2006","100.12"
"BEL","","ALL","2007","101.18"
"BEL","","ALL","2008","98.38"
"BEL","","ALL","2009","96.11"
"BEL","","ALL","2010","96.93"
"BEL","","ALL","2011","96.58"
"BEL","","ALL","2012","98.96"
"BEL","","ALL","2013","99.6"
"BEL","","ALL","2014","98.48"
"BEL","","ALL","2015","98.93"
"BEL","","ALL","2016","99.82"
"BEL","","ALL","2017","98.52"
"BEL","","ALL","2018","98.08"
"BEL","","ALL","2019","100.34"
"BGR","","ALL","1961","90.69"
"BGR","","ALL","1962","90.29"
"BGR","","ALL","1963","91.52"
"BGR","","ALL","1964","92.66"
"BGR","","ALL","1965","95.41"
"BGR","","ALL","1966","98.22"
"BGR","","ALL","1967","96.81"
"BGR","","ALL","1968","94.54"
"BGR","","ALL","1969","94.98"
"BGR","","ALL","1970","94.12"
"BGR","","ALL","1971","96.48"
"BGR","","ALL","1972","97.61"
"BGR","","ALL","1973","96.05"
"BGR","","ALL","1974","97.38"
"BGR","","ALL","1975","100.28"
"BGR","","ALL","1976","102.87"
"BGR","","ALL","1977","100.35"
"BGR","","ALL","1978","102.14"
"BGR","","ALL","1979","102.87"
"BGR","","ALL","1980","103.41"
"BGR","","ALL","1981","105.47"
"BGR","","ALL","1982","105.68"
"BGR","","ALL","1983","106.09"
"BGR","","ALL","1984","107.1"
"BGR","","ALL","1985","106.94"
"BGR","","ALL","1986","108.31"
"BGR","","ALL","1987","110.23"
"BGR","","ALL","1988","111.2"
"BGR","","ALL","1989","110.45"
"BGR","","ALL","1990","95.7"
"BGR","","ALL","1991","90.94"
"BGR","","ALL","1992","86.52"
"BGR","","ALL","1993","87.69"
"BGR","","ALL","1994","85.32"
"BGR","","ALL","1995","87.12"
"BGR","","ALL","1996","83.22"
"BGR","","ALL","1997","82.36"
"BGR","","ALL","1998","89.86"
"BGR","","ALL","1999","88.93"
"BGR","","ALL","2000","85.79"
"BGR","","ALL","2001","84.36"
"BGR","","ALL","2002","81.87"
"BGR","","ALL","2003","78.55"
"BGR","","ALL","2004","80.13"
"BGR","","ALL","2005","77.82"
"BGR","","ALL","2006","79.75"
"BGR","","ALL","2007","76.13"
"BGR","","ALL","2008","80.01"
"BGR","","ALL","2009","80.48"
"BGR","","ALL","2010","80.4"
"BGR","","ALL","2011","80.71"
"BGR","","ALL","2012","81.4"
"BGR","","ALL","2013","82.14"
"BGR","","ALL","2014","85.53"
"BGR","","ALL","2015","81.67"
"BGR","","ALL","2016","85.12"
"BGR","","ALL","2017","85.49"
