"COUNTRY","COUNTRY_GRP","SEX","YEAR","VALUE"
"ALB","","ALL","1987","1.52"
"ALB","","ALL","1988","1.65"
"ALB","","ALL","1989","2.5"
"ALB","","ALL","1992","4.53"
"ALB","","ALL","1993","6.34"
"ALB","","ALL","1994","3.52"
"ALB","","ALL","1995","8.08"
"ALB","","ALL","1996","8.07"
"ALB","","ALL","1997","39.01"
"ALB","","ALL","1998","18.93"
"ALB","","ALL","1999","15.38"
"ALB","","ALL","2000","4.02"
"ALB","","ALL","2001","7.63"
"ALB","","ALL","2002","7.44"
"ALB","","ALL","2003","5.53"
"ALB","","ALL","2004","4.31"
"ALB","","ALL","2005","0"
"ALB","","ALL","2006","0"
"ALB","","ALL","2007","3.11"
"ALB","","ALL","2008","3.08"
"ALB","","ALL","2009","0"
"ARM","","ALL","1981","2.04"
"ARM","","ALL","1982","2.35"
"ARM","","ALL","1985","1.81"
"ARM","","ALL","1986","1.54"
"ARM","","ALL","1987","2.11"
"ARM","","ALL","1988","3.1"
"ARM","","ALL","1989","3.33"
"ARM","","ALL","1990","6.39"
"ARM","","ALL","1991","7.4"
"ARM","","ALL","1992","26.2"
"ARM","","ALL","1993","8.45"
"ARM","","ALL","1994","5.04"
"ARM","","ALL","1995","4.58"
"ARM","","ALL","1996","3.13"
"ARM","","ALL","1997","2.77"
"ARM","","ALL","1998","2.73"
"ARM","","ALL","1999","2.75"
"ARM","","ALL","2000","2.39"
"ARM","","ALL","2001","1.9"
"ARM","","ALL","2002","2.38"
"ARM","","ALL","2003","1.79"
"ARM","","ALL","2008","1.85"
"ARM","","ALL","2012","1.65"
"ARM","","ALL","2013","1.1"
"ARM","","ALL","2014","1.08"
"ARM","","ALL","2015","1.22"
"ARM","","ALL","2016","1.03"
"ARM","","ALL","2017","1.29"
"ARM","","ALL","2018","0.32"
"ARM","","ALL","2019","0.83"
"ARM","","ALL","2022","1.38"
"AUT","","ALL","1969","1.13"
"AUT","","ALL","1970","1.51"
"AUT","","ALL","1971","1.4"
"AUT","","ALL","1972","1.31"
"AUT","","ALL","1973","1.47"
"AUT","","ALL","1974","1.6"
"AUT","","ALL","1975","1.72"
"AUT","","ALL","1976","1.3"
"AUT","","ALL","1977","1.3"
"AUT","","ALL","1978","1.49"
"AUT","","ALL","1979","1.31"
"AUT","","ALL","1980","1.22"
"AUT","","ALL","1981","1.29"
"AUT","","ALL","1982","1.58"
"AUT","","ALL","1983","1.72"
"AUT","","ALL","1984","1.85"
"AUT","","ALL","1985","1.46"
"AUT","","ALL","1986","1.33"
"AUT","","ALL","1987","1.32"
"AUT","","ALL","1988","1.19"
"AUT","","ALL","1989","1.13"
"AUT","","ALL","1990","1.64"
"AUT","","ALL","1991","1.25"
"AUT","","ALL","1992","1.44"
"AUT","","ALL","1993","1.34"
"AUT","","ALL","1994","1.15"
"AUT","","ALL","1995","1.04"
"AUT","","ALL","1996","1.16"
"AUT","","ALL","1997","0.9"
"AUT","","ALL","1998","1.13"
"AUT","","ALL","1999","0.83"
"AUT","","ALL","2000","0.9"
"AUT","","ALL","2001","1"
"AUT","","ALL","2002","0.87"
"AUT","","ALL","2003","0.6"
"AUT","","ALL","2004","0.75"
"AUT","","ALL","2005","0.81"
"AUT","","ALL","2006","0.79"
"AUT","","ALL","2007","0.62"
"AUT","","ALL","2008","0.55"
"AUT","","ALL","2009","0.66"
"AUT","","ALL","2010","0.48"
"AUT","","ALL","2011","0.53"
"AUT","","ALL","2012","0.4"
"AUT","","ALL","2013","0.4"
"AUT","","ALL","2014","0.43"
"AUT","","ALL","2015","0.55"
"AUT","","ALL","2016","0.46"
"AUT","","ALL","2017","0.48"
"AUT","","ALL","2018","0.54"
"AUT","","ALL","2019","0.49"
"AUT","","ALL","2020","0.42"
"AUT","","ALL","2021","0.36"
"AZE","","ALL","1981","4.28"
"AZE","","ALL","1982","3.86"
"AZE","","ALL","1985","3.1"
"AZE","","ALL","1986","3.77"
"AZE","","ALL","1987","2.89"
"AZE","","ALL","1988","4.18"
"AZE","","ALL","1989","2.77"
"AZE","","ALL","1990","6.8"
"AZE","","ALL","1991","5.44"
"AZE","","ALL","1992","48.16"
"AZE","","ALL","1993","38.16"
"AZE","","ALL","1994","55.29"
"AZE","","ALL","1995","8.93"
"AZE","","ALL","1996","7.78"
"AZE","","ALL","1997","6.12"
"AZE","","ALL","1998","6"
"AZE","","ALL","1999","4.97"
"AZE","","ALL","2000","3.39"
"AZE","","ALL","2001","2.76"
"AZE","","ALL","2002","2.91"
"AZE","","ALL","2003","2.59"
"AZE","","ALL","2004","1.9"
"AZE","","ALL","2007","0.25"
"BEL","","ALL","1968","0.87"
"BEL","","ALL","1969","0.82"
"BEL","","ALL","1970","1.12"
"BEL","","ALL","1971","1.07"
"BEL","","ALL","1972","1.22"
"BEL","","ALL","1973","1.12"
"BEL","","ALL","1974","1.04"
"BEL","","ALL","1975","0.89"
"BEL","","ALL","1976","0.97"
"BEL","","ALL","1977","0.91"
"BEL","","ALL","1978","1.05"
"BEL","","ALL","1979","1.63"
"BEL","","ALL","1980","1.49"
"BEL","","ALL","1981","1.38"
"BEL","","ALL","1982","1.48"
"BEL","","ALL","1983","1.79"
"BEL","","ALL","1984","1.67"
"BEL","","ALL","1985","1.96"
"BEL","","ALL","1986","2.12"
"BEL","","ALL","1987","1.56"
"BEL","","ALL","1988","1.55"
"BEL","","ALL","1989","1.33"
"BEL","","ALL","1990","1.41"
"BEL","","ALL","1991","1.34"
"BEL","","ALL","1992","1.64"
"BEL","","ALL","1993","1.87"
"BEL","","ALL","1994","1.75"
"BEL","","ALL","1995","1.59"
"BEL","","ALL","1996","1.95"
"BEL","","ALL","1997","1.73"
"BEL","","ALL","1998","1.95"
"BEL","","ALL","1999","2.4"
"BEL","","ALL","2000","1.73"
"BEL","","ALL","2001","1.89"
"BEL","","ALL","2002","1.89"
"BEL","","ALL","2003","1.42"
"BEL","","ALL","2004","1.68"
"BEL","","ALL","2005","1.53"
"BEL","","ALL","2006","1.35"
"BEL","","ALL","2007","1.46"
"BEL","","ALL","2008","1.17"
"BEL","","ALL","2009","1.21"
"BEL","","ALL","2010","1.03"
