"COUNTRY","COUNTRY_GRP","SEX","YEAR","VALUE"
"ALB","","ALL","1980","11411"
"ALB","","ALL","1981","11411"
"ALB","","ALL","1982","11578"
"ALB","","ALL","1983","11610"
"ALB","","ALL","1984","12006"
"ALB","","ALL","1985","12240"
"ALB","","ALL","1986","12271"
"ALB","","ALL","1987","12212"
"ALB","","ALL","1988","12350"
"ALB","","ALL","1989","13150"
"ALB","","ALL","1990","13228"
"ALB","","ALL","1991","13035"
"ALB","","ALL","1992","12803"
"ALB","","ALL","1993","12136"
"ALB","","ALL","1994","9661"
"ALB","","ALL","1995","10371"
"ALB","","ALL","1996","10319"
"ALB","","ALL","1997","10133"
"ALB","","ALL","1998","10237"
"ALB","","ALL","1999","10207"
"ALB","","ALL","2000","10162"
"ALB","","ALL","2001","9991"
"ALB","","ALL","2002","9687"
"ALB","","ALL","2003","9514"
"ALB","","ALL","2004","9405"
"ALB","","ALL","2005","9284"
"ALB","","ALL","2006","9344"
"ALB","","ALL","2007","9191"
"ALB","","ALL","2009","8805"
"ALB","","ALL","2010","8708"
"ALB","","ALL","2011","8374"
"ALB","","ALL","2012","8366"
"ALB","","ALL","2013","8366"
"AND","","ALL","1996","204"
"AND","","ALL","1997","195"
"AND","","ALL","1998","203"
"AND","","ALL","1999","211"
"AND","","ALL","2000","211"
"AND","","ALL","2001","171"
"AND","","ALL","2002","245"
"AND","","ALL","2003","233"
"AND","","ALL","2004","206"
"AND","","ALL","2005","206"
"AND","","ALL","2006","206"
"AND","","ALL","2007","215"
"AND","","ALL","2009","214"
"ARM","","ALL","1980","26050"
"ARM","","ALL","1981","26600"
"ARM","","ALL","1982","27200"
"ARM","","ALL","1983","27200"
"ARM","","ALL","1984","27700"
"ARM","","ALL","1985","28112"
"ARM","","ALL","1986","29480"
"ARM","","ALL","1987","29710"
"ARM","","ALL","1988","30424"
"ARM","","ALL","1989","29874"
"ARM","","ALL","1990","30482"
"ARM","","ALL","1991","30806"
"ARM","","ALL","1992","30840"
"ARM","","ALL","1993","30651"
"ARM","","ALL","1994","29098"
"ARM","","ALL","1995","28711"
"ARM","","ALL","1996","26893"
"ARM","","ALL","1997","25560"
"ARM","","ALL","1998","25275"
"ARM","","ALL","1999","23574"
"ARM","","ALL","2000","20795"
"ARM","","ALL","2001","16157"
"ARM","","ALL","2002","13968"
"ARM","","ALL","2003","14208"
"ARM","","ALL","2004","14259"
"ARM","","ALL","2005","14353"
"ARM","","ALL","2006","14276"
"ARM","","ALL","2007","13126"
"ARM","","ALL","2008","12358"
"ARM","","ALL","2009","12068"
"ARM","","ALL","2010","12160"
"ARM","","ALL","2011","12236"
"ARM","","ALL","2012","12241"
"ARM","","ALL","2013","12268"
"ARM","","ALL","2014","12514"
"AUT","","ALL","1985","75168"
"AUT","","ALL","1986","75032"
"AUT","","ALL","1987","74156"
"AUT","","ALL","1988","73214"
"AUT","","ALL","1989","72494"
"AUT","","ALL","1990","71324"
"AUT","","ALL","1991","70143"
"AUT","","ALL","1992","69268"
"AUT","","ALL","1993","68729"
"AUT","","ALL","1994","68218"
"AUT","","ALL","1995","67853"
"AUT","","ALL","1996","67173"
"AUT","","ALL","1997","66480"
"AUT","","ALL","1998","65373"
"AUT","","ALL","1999","64594"
"AUT","","ALL","2000","63674"
"AUT","","ALL","2001","63114"
"AUT","","ALL","2002","63092"
"AUT","","ALL","2003","62806"
"AUT","","ALL","2004","63206"
"AUT","","ALL","2005","63248"
"AUT","","ALL","2006","63354"
"AUT","","ALL","2007","64307"
"AUT","","ALL","2008","64018"
"AUT","","ALL","2009","64069"
"AUT","","ALL","2010","64008"
"AUT","","ALL","2011","64417"
"AUT","","ALL","2012","64691"
"AUT","","ALL","2013","64825"
"AUT","","ALL","2014","64815"
"AZE","","ALL","1980","60000"
"AZE","","ALL","1985","65900"
"AZE","","ALL","1986","66500"
"AZE","","ALL","1987","67800"
"AZE","","ALL","1988","69400"
"AZE","","ALL","1989","71100"
"AZE","","ALL","1990","70890"
"AZE","","ALL","1991","71894"
"AZE","","ALL","1992","76592"
"AZE","","ALL","1993","76891"
"AZE","","ALL","1994","74442"
"AZE","","ALL","1995","74577"
"AZE","","ALL","1996","73457"
"AZE","","ALL","1997","72413"
"AZE","","ALL","1998","71721"
"AZE","","ALL","1999","71015"
"AZE","","ALL","2000","69903"
"AZE","","ALL","2001","69022"
"AZE","","ALL","2002","68681"
"AZE","","ALL","2003","68117"
"AZE","","ALL","2004","68442"
"AZE","","ALL","2005","68902"
"AZE","","ALL","2006","68356"
"AZE","","ALL","2007","68076"
"AZE","","ALL","2008","67830"
"AZE","","ALL","2009","67430"
"AZE","","ALL","2010","45790"
"AZE","","ALL","2011","42371"
"AZE","","ALL","2012","43198"
"AZE","","ALL","2013","44149"
"AZE","","ALL","2014","46432"
"BEL","","ALL","1985","91790"
"BEL","","ALL","1986","89590"
"BEL","","ALL","1987","88550"
"BEL","","ALL","1988","83090"
"BEL","","ALL","1989","82632"
"BEL","","ALL","1990","76703"
"BEL","","ALL","1991","77207"
"BEL","","ALL","1992","77829"
"BEL","","ALL","1993","77659"
"BEL","","ALL","1994","76844"
"BEL","","ALL","1995","75149"
"BEL","","ALL","1996","80970"
"BEL","","ALL","1997","80835"
"BEL","","ALL","1998","80267"
"BEL","","ALL","1999","79906"
"BEL","","ALL","2000","79639"
"BEL","","ALL","2001","78763"
"BEL","","ALL","2002","78272"
"BEL","","ALL","2003","77905"
"BEL","","ALL","2004","77881"
"BEL","","ALL","2005","77799"
"BEL","","ALL","2006","70714"
"BEL","","ALL","2007","70461"
"BEL","","ALL","2008","70410"
"BEL","","ALL","2009","70265"
"BEL","","ALL","2010","70170"
"BEL","","ALL","2011","70138"
"BEL","","ALL","2012","70032"
"BEL","","ALL","2013","69940"
"BEL","","ALL","2014","69924"
"BEL","","ALL","2015","69730"
"BGR","","ALL","2000","60552"
"BGR","","ALL","2001","56984"
"BGR","","ALL","2002","51030"
"BGR","","ALL","2003","49171"
"BGR","","ALL","2004","47709"
"BGR","","ALL","2005","49626"
"BGR","","ALL","2006","47719"
"BGR","","ALL","2007","48749"
"BGR","","ALL","2008","49507"
"BGR","","ALL","2009","50041"
"BGR","","ALL","2010","48934"
"BGR","","ALL","2011","47391"
"BGR","","ALL","2012","48308"
"BGR","","ALL","2013","49522"
"BGR","","ALL","2014","51505"
"BIH","","ALL","1980","19788"
"BIH","","ALL","1981","20331"
"BIH","","ALL","1982","20429"
"BIH","","ALL","1983","20492"
"BIH","","ALL","1984","20232"
"BIH","","ALL","1985","20190"
"BIH","","ALL","1986","20469"
"BIH","","ALL","1987","20016"
"BIH","","ALL","1988","20128"
"BIH","","ALL","1989","19951"
"BIH","","ALL","1990","19968"
"BIH","","ALL","1991","19782"
"BIH","","ALL","2000","12755"
"BIH","","ALL","2001","12179"
"BIH","","ALL","2002","12204"
"BIH","","ALL","2003","12074"
"BIH","","ALL","2004","11924"
"BIH","","ALL","2005","12181"
"BIH","","ALL","2006","12515"
"BIH","","ALL","2007","12779"
"BIH","","ALL","2008","12879"
"BIH","","ALL","2009","12762"
"BIH","","ALL","2010","13070"
"BIH","","ALL","2011","13291"
"BIH","","ALL","2012","13441"
"BIH","","ALL","2013","13432"
"BIH","","ALL","2014","13336"
"BLR","","ALL","1980","120785"
"BLR","","ALL","1985","130160"
"BLR","","ALL","1986","132805"
"BLR","","ALL","1987","135455"
"BLR","","ALL","1988","135335"
"BLR","","ALL","1989","138250"
"BLR","","ALL","1990","135067"
"BLR","","ALL","1991","135122"
"BLR","","ALL","1992","130686"
"BLR","","ALL","1993","128747"
"BLR","","ALL","1994","128482"
"BLR","","ALL","1995","127268"
"BLR","","ALL","1996","125818"
"BLR","","ALL","1997","126295"
"BLR","","ALL","1998","126542"
"BLR","","ALL","1999","126866"
"BLR","","ALL","2000","126209"
"BLR","","ALL","2001","125403"
"BLR","","ALL","2002","118519"
"BLR","","ALL","2003","112007"
"BLR","","ALL","2004","105252"
"BLR","","ALL","2005","108792"
"BLR","","ALL","2006","108793"
"BLR","","ALL","2007","108942"
"BLR","","ALL","2008","107670"
"BLR","","ALL","2009","106999"
"BLR","","ALL","2010","108667"
"BLR","","ALL","2011","106585"
"BLR","","ALL","2012","106640"
"BLR","","ALL","2013","104558"
"BLR","","ALL","2014","102917"
"","CARINFONET","ALL","1980","489109"
