"COUNTRY","COUNTRY_GRP","SEX","YEAR","VALUE"
"ALB","","ALL","1980","5.6"
"ALB","","ALL","1981","5.1"
"ALB","","ALL","1982","3.6"
"ALB","","ALL","1983","4.4"
"ALB","","ALL","1984","5.7"
"ALB","","ALL","1985","6.7"
"ALB","","ALL","1986","6.4"
"ALB","","ALL","1987","6.1"
"ALB","","ALL","1988","7"
"ALB","","ALL","1989","7.3"
"ALB","","ALL","1990","9.5"
"ALB","","ALL","1991","9.1"
"ALB","","ALL","1992","27"
"ALB","","ALL","1993","22"
"ALB","","ALL","1994","18"
"ALB","","ALL","1995","13.1"
"ALB","","ALL","1996","12"
"ALB","","ALL","1997","14.9"
"ALB","","ALL","1998","17.7"
"ALB","","ALL","1999","18.4"
"ALB","","ALL","2000","16.8"
"ALB","","ALL","2001","16.4"
"ALB","","ALL","2002","15.8"
"ALB","","ALL","2003","15"
"ALB","","ALL","2004","14.4"
"ALB","","ALL","2005","14.1"
"ALB","","ALL","2006","13.8"
"ALB","","ALL","2012","13.4"
"ALB","","ALL","2013","15.6"
"ALB","","ALL","2014","17.9"
"ALB","","ALL","2015","17.5"
"ALB","","ALL","2016","15.2"
"ALB","","ALL","2017","13.7"
"ALB","","ALL","2018","12.3"
"ALB","","ALL","2019","11.5"
"ALB","","ALL","2020","11.7"
"ALB","","ALL","2021","11.5"
"AND","","ALL","2009","0.9"
"AND","","ALL","2010","3"
"AND","","ALL","2011","3.7"
"AND","","ALL","2012","6"
"AND","","ALL","2013","6.2"
"AND","","ALL","2014","5.3"
"AND","","ALL","2015","3.9"
"AND","","ALL","2016","3.3"
"AND","","ALL","2017","2.4"
"AND","","ALL","2018","1.8"
"AND","","ALL","2019","2.1"
"AND","","ALL","2020","2.9"
"AND","","ALL","2021","3.3"
"AND","","ALL","2022","2.1"
"AND","","ALL","2023","1.5"
"ARM","","ALL","1993","6.3"
"ARM","","ALL","1994","7.5"
"ARM","","ALL","1995","6.7"
"ARM","","ALL","1996","9.3"
"ARM","","ALL","1997","10.8"
"ARM","","ALL","1998","9.4"
"ARM","","ALL","1999","11.1"
"ARM","","ALL","2000","11.7"
"ARM","","ALL","2001","10.4"
"ARM","","ALL","2002","9.4"
"ARM","","ALL","2003","9.7"
"ARM","","ALL","2004","9.6"
"ARM","","ALL","2005","8.2"
"ARM","","ALL","2006","7.4"
"ARM","","ALL","2007","6.7"
"ARM","","ALL","2008","6.3"
"ARM","","ALL","2009","7.1"
"ARM","","ALL","2010","6.9"
"ARM","","ALL","2011","6.2"
"ARM","","ALL","2012","17.3"
"ARM","","ALL","2013","16.2"
"ARM","","ALL","2014","17.6"
"ARM","","ALL","2015","18.5"
"ARM","","ALL","2016","18"
"ARM","","ALL","2017","17.8"
"ARM","","ALL","2018","16.3"
"ARM","","ALL","2019","17.9"
"ARM","","ALL","2020","18.1"
"ARM","","ALL","2021","15.46"
"ARM","","ALL","2022","13"
"AUT","","ALL","1970","2.4"
"AUT","","ALL","1971","1.5"
"AUT","","ALL","1972","1.3"
"AUT","","ALL","1973","1.2"
"AUT","","ALL","1974","1.42"
"AUT","","ALL","1975","1.85"
"AUT","","ALL","1976","1.91"
"AUT","","ALL","1977","1.7"
"AUT","","ALL","1978","2.19"
"AUT","","ALL","1979","2.22"
"AUT","","ALL","1980","2"
"AUT","","ALL","1981","2.67"
"AUT","","ALL","1982","3.67"
