"COUNTRY","COUNTRY_GRP","SEX","YEAR","VALUE"
"ALB","","ALL","1991","16.72"
"ALB","","ALL","1992","48.34"
"ALB","","ALL","1993","40.51"
"ALB","","ALL","1994","33.46"
"ALB","","ALL","1995","23.42"
"ALB","","ALL","1996","22.44"
"ALB","","ALL","1997","27.42"
"ALB","","ALL","1998","32.43"
"ALB","","ALL","1999","33.72"
"ALB","","ALL","2000","30.88"
"ALB","","ALL","2001","30.17"
"ALB","","ALL","2002","29.06"
"ALB","","ALL","2003","27.67"
"ALB","","ALL","2004","26.64"
"ALB","","ALL","2005","26.16"
"ALB","","ALL","2006","25.75"
"ALB","","ALL","2007","26.48"
"ALB","","ALL","2008","26.38"
"ALB","","ALL","2009","27.26"
"ALB","","ALL","2010","30.81"
"ALB","","ALL","2011","22.66"
"ALB","","ALL","2012","28.79"
"ALB","","ALL","2013","31.2"
"ALB","","ALL","2014","39.6"
"ALB","","ALL","2015","39.78"
"ALB","","ALL","2016","36.03"
"ALB","","ALL","2017","31.27"
"ALB","","ALL","2018","28.19"
"ALB","","ALL","2019","27.02"
"ALB","","ALL","2020","30.32"
"ALB","","ALL","2021","27.84"
"ARM","","ALL","1991","2.15"
"ARM","","ALL","1992","2.43"
"ARM","","ALL","1993","6.96"
"ARM","","ALL","1994","8.64"
"ARM","","ALL","1995","8.51"
"ARM","","ALL","1996","11.62"
"ARM","","ALL","1997","13.38"
"ARM","","ALL","1998","11.65"
"ARM","","ALL","1999","13.88"
"ARM","","ALL","2000","13.56"
"ARM","","ALL","2001","13.29"
"ARM","","ALL","2002","13.02"
"ARM","","ALL","2003","12.73"
"ARM","","ALL","2004","12.39"
"ARM","","ALL","2005","12.15"
"ARM","","ALL","2006","11.86"
"ARM","","ALL","2007","11.59"
"ARM","","ALL","2008","26.2"
"ARM","","ALL","2009","39.83"
"ARM","","ALL","2010","38.6"
"ARM","","ALL","2011","38.38"
"ARM","","ALL","2012","34.6"
"ARM","","ALL","2013","35.11"
"ARM","","ALL","2014","36.76"
"ARM","","ALL","2015","31.8"
"ARM","","ALL","2016","35.95"
"ARM","","ALL","2017","37.76"
"ARM","","ALL","2018","33.58"
"ARM","","ALL","2019","32.49"
"ARM","","ALL","2020","36.59"
"ARM","","ALL","2021","36.08"
"AUT","","ALL","1991","3.72"
"AUT","","ALL","1992","4.13"
"AUT","","ALL","1993","4.66"
"AUT","","ALL","1994","4.97"
"AUT","","ALL","1995","5.91"
"AUT","","ALL","1996","6.84"
"AUT","","ALL","1997","7.56"
"AUT","","ALL","1998","7.49"
"AUT","","ALL","1999","5.93"
"AUT","","ALL","2000","6.3"
"AUT","","ALL","2001","6.01"
"AUT","","ALL","2002","7.14"
"AUT","","ALL","2003","7.43"
"AUT","","ALL","2004","12.07"
"AUT","","ALL","2005","10.98"
"AUT","","ALL","2006","9.75"
"AUT","","ALL","2007","9.41"
"AUT","","ALL","2008","8.48"
"AUT","","ALL","2009","10.65"
"AUT","","ALL","2010","9.45"
"AUT","","ALL","2011","8.91"
"AUT","","ALL","2012","9.39"
"AUT","","ALL","2013","9.64"
"AUT","","ALL","2014","10.27"
"AUT","","ALL","2015","10.58"
