COUNTRY,SEX,YEAR,life_expectancy,average_number_of_calories_available_per_person_per_day,unemployment_rate,regular_daily_smokers,adult_overweight,alcahol_consumption_liter_per_capita,fat_available_ppd,protein_ppd,average_fruit_vegtable_ppd,annual_income,youth_unemployment_rate,Ischaemic_heart_diseas,circulatory_diseases,self_injury,total_hospital_beds
Austria,ALL,2000.0,78.47,2223.0,5.6,29.5,33.3,1.17,44.85,66.11,128.8,700.0,16.72,23.22,3353.71,1.52,11411.0
Austria,ALL,2001.0,78.95,2242.0,5.1,40.1,33.8,0.91,46.06,66.12,121.44,730.0,48.34,23.82,3411.79,1.65,11411.0
Austria,ALL,2002.0,79.01,2156.0,3.6,24.7,34.2,1.04,43.14,64.58,115.27,730.0,40.51,26.04,3464.58,2.5,11578.0
Austria,ALL,2003.0,78.89,2270.0,4.4,34.9,34.7,1.04,48.29,65.59,127.38,760.0,33.46,25.26,2825.93,4.53,11610.0
Austria,ALL,2004.0,79.43,2254.0,5.7,39.0,35.1,1.03,44.41,66.63,120.52,650.0,23.42,21.33,2569.84,6.34,12006.0
Austria,ALL,2005.0,79.66,2254.0,6.7,38.0,35.6,1.17,47.17,64.92,104.88,410.0,22.44,20.82,2358.22,3.52,12240.0
Austria,ALL,2006.0,80.19,2262.0,6.4,29.85,36.1,1.44,47.3,66.39,94.52,280.0,27.42,23.17,2978.22,8.08,12271.0
Austria,ALL,2007.0,80.46,2343.0,6.1,23.95,36.5,1.73,47.92,67.72,97.69,320.0,32.43,27.3,3277.13,8.07,12212.0
Austria,ALL,2008.0,80.72,2404.0,7.0,35.9,37.0,1.77,48.66,68.97,103.86,380.0,33.72,24.19,2939.83,39.01,12350.0
Austria,ALL,2009.0,80.57,2415.0,7.3,36.0,37.5,1.2,52.08,69.46,124.14,640.0,30.88,24.79,3326.55,18.93,13150.0
Austria,ALL,2010.0,80.88,2360.0,9.5,30.54,38.0,1.56,48.85,69.16,112.7,890.0,30.17,26.51,3021.15,15.38,13228.0
Austria,ALL,2011.0,81.27,2388.0,9.1,29.0,38.5,1.59,44.39,70.68,115.86,800.0,29.06,28.43,3726.38,4.02,13035.0
Austria,ALL,2012.0,81.19,2432.0,27.0,35.3,39.0,1.58,48.88,71.02,118.04,860.0,27.67,26.11,2735.83,7.63,12803.0
Austria,ALL,2013.0,81.4,2494.0,22.0,28.4,39.5,1.35,51.92,72.73,118.42,950.0,26.64,28.43,3046.08,7.44,12136.0
Austria,ALL,2014.0,81.79,2494.0,18.0,27.3,40.0,1.33,54.15,71.49,111.78,1100.0,26.16,31.04,3391.65,5.53,9661.0
Austria,ALL,2015.0,81.45,2680.0,13.1,27.0,49.84,1.37,57.69,77.71,127.64,1280.0,25.75,31.9,3202.64,4.31,10371.0
Austria,ALL,2016.0,81.93,2776.0,12.0,27.0,50.07,1.65,59.44,81.38,127.25,1370.0,26.48,27.47,3018.41,0.0,10319.0
Austria,ALL,2017.0,81.87,2689.0,14.9,26.8,50.29,1.4,57.5,79.4,131.84,1650.0,26.38,27.33,2872.25,0.0,10133.0
Austria,ALL,2018.0,81.91,2607.0,17.7,26.8,50.52,1.79,61.12,75.79,125.82,2100.0,27.26,23.1,2475.4,3.11,10237.0
Austria,ALL,2019.0,82.16,2596.0,18.4,26.8,50.75,1.84,58.53,75.89,115.17,2620.0,30.81,27.55,2874.05,3.08,10207.0
Austria,ALL,2020.0,81.49,2676.0,16.8,23.0,50.99,1.51,60.54,79.11,121.39,3050.0,22.66,25.8,2734.58,0.0,10162.0
Austria,ALL,2021.0,81.42,2664.0,16.4,23.0,51.24,1.68,57.83,79.05,131.72,3460.0,28.79,63.33,3167.48,2.04,9991.0
Belgium,ALL,2000.0,77.96,2798.0,15.8,23.0,51.52,1.58,63.25,82.78,137.43,4040.0,31.2,67.79,3543.44,2.35,9687.0
Belgium,ALL,2001.0,78.32,2721.0,15.0,26.2,51.84,1.6,60.42,80.89,122.08,4280.0,39.6,66.73,3808.24,1.81,9514.0
Belgium,ALL,2002.0,78.32,2565.0,14.4,26.2,52.18,1.39,56.8,76.32,109.01,4360.0,39.78,72.9,3736.64,1.54,9405.0
Belgium,ALL,2003.0,78.45,2690.0,14.1,26.2,52.56,1.63,57.23,79.89,113.36,4410.0,36.03,69.79,3822.17,2.11,9284.0
Belgium,ALL,2004.0,79.11,2497.0,13.8,25.2,52.97,1.67,57.36,73.83,105.39,4360.0,31.27,73.54,3951.12,3.1,9344.0
Belgium,ALL,2005.0,79.19,2594.0,13.4,24.9,53.41,1.73,59.15,77.26,86.61,4540.0,28.19,78.6,4151.76,3.33,9191.0
Belgium,ALL,2006.0,79.79,2569.0,15.6,27.5,53.87,2.03,61.2,77.02,106.55,4540.0,27.02,85.25,4102.94,6.39,8805.0
Belgium,ALL,2007.0,79.9,2568.0,17.9,35.0,54.34,1.28,60.92,77.62,111.67,4390.0,30.32,86.92,4031.49,7.4,8708.0
Belgium,ALL,2008.0,80.0,2572.0,17.5,24.0,54.81,1.35,68.58,78.73,114.32,4320.0,27.84,90.26,4361.34,26.2,8374.0
Belgium,ALL,2009.0,80.28,2654.0,15.2,36.3,55.3,1.49,69.9,85.19,149.48,4290.0,2.15,89.14,4633.4,8.45,8366.0
Belgium,ALL,2010.0,80.3,2795.0,13.7,23.2,55.78,2.77,74.06,88.74,182.56,4860.0,2.43,78.46,3941.86,5.04,8366.0
Belgium,ALL,2011.0,80.66,2877.0,12.3,24.3,56.25,2.87,74.98,94.08,194.85,5230.0,6.96,86.64,3994.48,4.58,204.0
Belgium,ALL,2012.0,80.51,2717.0,11.5,20.6,56.71,3.12,78.01,89.77,183.6,5260.0,8.64,80.74,3877.71,3.13,195.0
Belgium,ALL,2013.0,80.79,2843.0,11.7,26.5,57.16,2.22,82.86,94.47,211.47,6110.0,8.51,75.38,3605.61,2.77,203.0
Belgium,ALL,2014.0,81.51,2725.0,11.5,20.4,57.6,1.54,73.15,89.03,190.31,46040.0,11.62,72.19,3370.34,2.73,211.0
Belgium,ALL,2015.0,81.19,2725.0,0.9,19.6,58.02,2.19,74.79,88.42,210.85,310.0,13.38,72.18,3463.97,2.75,211.0
Belgium,ALL,2016.0,81.65,2797.0,3.0,19.0,58.44,3.92,76.82,92.76,212.01,360.0,11.65,67.77,3196.15,2.39,171.0
