COUNTRY,YEAR,SEX,circulatory_diseases,youth_unemployment_rate,gross_national_income,unemployment_rate,regular_daily_smokers,average_fruit_vegtable_ppd,fat_available_ppd,adult_overweight,self_injury,average_number_of_calories_available_per_person_per_day,total_hospital_beds,Ischaemic_heart_diseas,life_expectancy,alcahol_consumption_liter_per_capita,protein_ppd
Austria,1975.0,ALL,4079.93,,5540.0,1.85,,199.59,128.62,34.7,1.72,3142.0,,48.56,71.35,14.1,90.55
Austria,1976.0,ALL,4084.81,,5980.0,1.91,,189.28,136.75,35.1,1.3,3243.0,,48.75,71.8,14.3,92.45
Austria,1977.0,ALL,3890.71,,6660.0,1.7,,193.8,135.68,35.6,1.3,3192.0,,50.01,72.19,14.2,91.17
Austria,1978.0,ALL,4017.27,,7540.0,2.19,,192.64,137.67,36.1,1.49,3213.0,,49.61,72.24,14.0,93.14
Austria,1979.0,ALL,3796.19,,9620.0,2.22,,212.92,142.14,36.6,1.31,3283.0,,48.73,72.61,13.4,94.76
Austria,1980.0,ALL,3884.39,,11460.0,2.0,,210.32,147.52,37.1,1.22,3355.0,,47.2,72.78,13.6,94.95
Austria,1981.0,ALL,3861.22,,11180.0,2.67,,195.52,149.6,37.6,1.29,3348.0,,47.33,73.08,13.5,96.98
Austria,1982.0,ALL,3745.31,,10380.0,3.67,,225.05,152.16,38.1,1.58,3400.0,,47.12,73.26,13.5,95.82
Austria,1983.0,ALL,3851.3,,9600.0,4.16,,177.46,151.81,38.6,1.72,3360.0,,47.86,73.26,14.0,95.85
Austria,1984.0,ALL,3546.25,,9270.0,3.8,,191.14,151.61,39.1,1.85,3361.0,,45.1,73.87,13.9,95.98
Austria,1985.0,ALL,3589.49,,9360.0,3.6,,181.15,154.35,39.7,1.46,3374.0,75168.0,44.02,74.11,13.3,96.06
Austria,1986.0,ALL,3468.91,,10820.0,3.13,24.9,203.39,154.91,40.2,1.33,3429.0,75032.0,42.28,74.6,13.6,97.74
Austria,1987.0,ALL,3270.49,,13810.0,3.82,,194.3,154.49,40.7,1.32,3420.0,74156.0,42.36,75.05,13.5,98.73
Austria,1988.0,ALL,3185.06,,18070.0,3.56,,207.48,150.73,41.3,1.19,3422.0,73214.0,38.99,75.52,13.7,97.91
Austria,1989.0,ALL,3115.65,,19300.0,3.16,,216.46,155.64,41.8,1.13,3478.0,72494.0,38.16,75.6,13.9,100.62
Austria,1990.0,ALL,2981.46,,20630.0,3.25,,208.24,156.24,39.78,1.64,3510.0,71324.0,36.96,75.9,13.9,102.46
Austria,1991.0,ALL,3051.58,3.72,21810.0,3.46,27.5,209.1,159.23,40.09,1.25,3556.0,70143.0,38.53,75.95,14.1,103.15
Austria,1992.0,ALL,3002.43,4.13,24520.0,3.61,35.0,212.51,161.42,40.4,1.44,3546.0,69268.0,37.38,76.13,13.6,103.95
Austria,1993.0,ALL,2958.7,4.66,24870.0,4.2,,231.78,159.35,40.7,1.34,3508.0,68729.0,36.47,76.33,13.5,102.52
Austria,1994.0,ALL,2852.62,4.97,26140.0,3.54,,222.75,158.71,41.02,1.15,3557.0,68218.0,35.52,76.71,12.5,104.88
Austria,1995.0,ALL,2844.85,5.91,28190.0,3.66,24.0,200.16,152.79,41.33,1.04,3510.0,67853.0,35.48,76.97,13.4,100.54
Austria,1996.0,ALL,2827.15,6.84,30090.0,4.13,,181.51,155.92,41.65,1.16,3551.0,67173.0,35.03,77.24,13.5,103.21
Austria,1997.0,ALL,2762.55,7.56,29560.0,4.21,,200.73,156.7,41.96,0.9,3494.0,66480.0,33.73,77.61,12.9,100.08
Austria,1998.0,ALL,2713.36,7.49,27970.0,4.22,,165.32,156.33,42.27,1.13,3608.0,65373.0,31.89,77.93,12.9,103.98
Austria,1999.0,ALL,2646.71,5.93,27080.0,3.72,36.3,205.56,157.23,42.58,0.83,3673.0,64594.0,30.69,78.13,12.8,105.49
Austria,2000.0,ALL,2487.72,6.3,26810.0,3.51,,209.26,159.02,42.88,0.9,3726.0,63674.0,28.37,78.47,13.35,106.03
Austria,2001.0,ALL,2347.28,6.01,25320.0,3.57,,224.27,160.66,43.16,1.0,3728.0,63114.0,26.51,78.95,12.35,106.89
