COUNTRY,YEAR,SEX,circulatory_diseases,youth_unemployment_rate,gross_national_income,unemployment_rate,regular_daily_smokers,average_fruit_vegtable_ppd,fat_available_ppd,adult_overweight,self_injury,average_number_of_calories_available_per_person_per_day,total_hospital_beds,Ischaemic_heart_diseas,life_expectancy,alcahol_consumption_liter_per_capita,protein_ppd
Albania,1975.0,ALL,,,,,,111.78,54.15,33.3,,2494.0,,,,1.35,71.49
Albania,1976.0,ALL,,,,,,127.64,57.69,33.8,,2680.0,,,,1.33,77.71
Albania,1977.0,ALL,,,,,,127.25,59.44,34.2,,2776.0,,,,1.37,81.38
Albania,1978.0,ALL,,,,,,131.84,57.5,34.7,,2689.0,,,,1.65,79.4
Albania,1979.0,ALL,,,,,,125.82,61.12,35.1,,2607.0,,,,1.4,75.79
Albania,1980.0,ALL,,,,5.6,,115.17,58.53,35.6,,2596.0,11411.0,,,1.79,75.89
Albania,1981.0,ALL,,,,5.1,,121.39,60.54,36.1,,2676.0,11411.0,,,1.84,79.11
Albania,1982.0,ALL,,,,3.6,,131.72,57.83,36.5,,2664.0,11578.0,,,1.51,79.05
Albania,1983.0,ALL,,,,4.4,,137.43,63.25,37.0,,2798.0,11610.0,,,1.68,82.78
Albania,1984.0,ALL,,,,5.7,,122.08,60.42,37.5,,2721.0,12006.0,,,1.58,80.89
Albania,1985.0,ALL,,,,6.7,,109.01,56.8,38.0,,2565.0,12240.0,,,1.6,76.32
Albania,1986.0,ALL,,,700.0,6.4,,113.36,57.23,38.5,,2690.0,12271.0,,,1.39,79.89
Albania,1987.0,ALL,3353.71,,730.0,6.1,,105.39,57.36,39.0,1.52,2497.0,12212.0,23.22,72.18,1.63,73.83
Albania,1988.0,ALL,3411.79,,730.0,7.0,,86.61,59.15,39.5,1.65,2594.0,12350.0,23.82,72.54,1.67,77.26
Albania,1989.0,ALL,3464.58,,760.0,7.3,,106.55,61.2,40.0,2.5,2569.0,13150.0,26.04,71.97,1.73,77.02
Albania,1990.0,ALL,,,650.0,9.5,29.5,111.67,60.92,49.84,,2568.0,13228.0,,72.61,2.03,77.62
Albania,1991.0,ALL,,16.72,410.0,9.1,,114.32,68.58,50.07,,2572.0,13035.0,,,1.28,78.73
Albania,1992.0,ALL,2825.93,48.34,280.0,27.0,,149.48,69.9,50.29,4.53,2654.0,12803.0,25.26,73.22,1.35,85.19
Albania,1993.0,ALL,2569.84,40.51,320.0,22.0,,182.56,74.06,50.52,6.34,2795.0,12136.0,21.33,73.74,1.49,88.74
Albania,1994.0,ALL,2358.22,33.46,380.0,18.0,,194.85,74.98,50.75,3.52,2877.0,9661.0,20.82,75.68,2.77,94.08
Albania,1995.0,ALL,2978.22,23.42,640.0,13.1,,183.6,78.01,50.99,8.08,2717.0,10371.0,23.17,75.02,2.87,89.77
Albania,1996.0,ALL,3277.13,22.44,890.0,12.0,,211.47,82.86,51.24,8.07,2843.0,10319.0,27.3,74.79,3.12,94.47
Albania,1997.0,ALL,2939.83,27.42,800.0,14.9,,190.31,73.15,51.52,39.01,2725.0,10133.0,24.19,75.36,2.22,89.03
Albania,1998.0,ALL,3326.55,32.43,860.0,17.7,,210.85,74.79,51.84,18.93,2725.0,10237.0,24.79,75.25,1.54,88.42
Albania,1999.0,ALL,3021.15,33.72,950.0,18.4,,212.01,76.82,52.18,15.38,2797.0,10207.0,26.51,76.32,2.19,92.76
Albania,2000.0,ALL,3726.38,30.88,1100.0,16.8,40.1,227.3,75.56,52.56,4.02,2734.0,10162.0,28.43,75.1,3.92,90.39
Albania,2001.0,ALL,2735.83,30.17,1280.0,16.4,,246.32,79.98,52.97,7.63,2803.0,9991.0,26.11,77.18,4.51,92.83
Albania,2002.0,ALL,3046.08,29.06,1370.0,15.8,24.7,259.42,81.06,53.41,7.44,2864.0,9687.0,28.43,76.4,3.96,97.92
Albania,2003.0,ALL,3391.65,27.67,1650.0,15.0,,277.22,82.36,53.87,5.53,2772.0,9514.0,31.04,75.77,4.33,95.79
Albania,2004.0,ALL,3202.64,26.64,2100.0,14.4,,278.88,88.72,54.34,4.31,2792.0,9405.0,31.9,76.24,4.42,95.27
Albania,2005.0,ALL,3018.41,26.16,2620.0,14.1,,288.85,88.6,54.81,0.0,2874.0,9284.0,27.47,76.83,4.98,98.24
Albania,2006.0,ALL,2872.25,25.75,3050.0,13.8,,301.08,91.55,55.3,0.0,2855.0,9344.0,27.33,77.67,5.17,97.63
Albania,2007.0,ALL,2475.4,26.48,3460.0,,34.9,304.29,91.29,55.78,3.11,2860.0,9191.0,23.1,79.69,5.46,97.28
Albania,2008.0,ALL,2874.05,26.38,4040.0,,,325.0,95.42,56.25,3.08,2947.0,,27.55,78.9,5.56,101.95
Albania,2009.0,ALL,2734.58,27.26,4280.0,,,327.54,101.91,56.71,0.0,2993.0,8805.0,25.8,79.64,5.79,101.91
Albania,2010.0,ALL,,30.81,4360.0,,39.0,380.79,103.83,57.16,,3184.0,8708.0,,,4.88,105.59
Albania,2011.0,ALL,,22.66,4410.0,,,401.45,104.87,57.6,,3237.0,8374.0,,,5.03,108.04
Albania,2012.0,ALL,,28.79,4360.0,13.4,,409.7,108.04,58.02,,3288.0,8366.0,,,4.43,108.89
